#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_H-r004.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1211322.25
1,0.016,1231505
2,0.027,1226149.875
3,0.038,1438377
4,0.049,1925195.375
5,0.060,2421671.75
6,0.071,2738016.25
7,0.082,2768056.5
8,0.093,2434920.5
9,0.104,1870146.75
10,0.115,1407801.375
11,0.126,1171613.25
12,0.137,1125094.625
13,0.147,1157062.75
14,0.158,1193592.875
15,0.169,1217480.75
16,0.180,1219903.25
17,0.191,1215372.25
18,0.202,1203330.25
19,0.213,1200766.125
20,0.224,1209438.25
21,0.235,1226059
22,0.246,1241102.375
23,0.257,1262395
24,0.268,1276809.875
25,0.279,1289623.375
26,0.290,1299111.5
27,0.301,1302509
28,0.312,1306622.5
29,0.323,1311732.875
30,0.334,1305445.75
31,0.345,1244435.875
32,0.355,1102254.5
33,0.366,889599.875
34,0.377,660447.4375
35,0.388,474108.4375
36,0.399,409481
37,0.410,505130.0625
38,0.421,734128.3125
39,0.432,1013169.0625
40,0.443,1273914
41,0.454,1448081.875
42,0.465,1523983.125
43,0.476,1497703.75
44,0.487,1425254.625
45,0.498,1335371.125
46,0.509,1273886.75
47,0.520,1225977.5
48,0.531,1208653.5
49,0.542,1204667.125
50,0.552,1209989.125
51,0.563,1209977.25
52,0.574,1215020.875
53,0.585,1213870.75
54,0.596,1214935.375
55,0.607,1220564.25
56,0.618,1229852.375
57,0.629,1233780.25
58,0.640,1234398.125
59,0.651,1233229.625
60,0.662,1229256.875
61,0.673,1227409
62,0.684,1229549.5
63,0.695,1242384
64,0.706,1247090
65,0.717,1252630.75
66,0.728,1255190.875
67,0.739,1259444.75
68,0.750,1259190.875
69,0.760,1261940.25
70,0.771,1260527.875
71,0.782,1260603
72,0.793,1251707.125
73,0.804,1236571.625
74,0.815,1218032.5
75,0.826,1204830.25
76,0.837,1197570.125
77,0.848,1201387.25
78,0.859,1212103.25
79,0.870,1228728.125
80,0.881,1242424.625
81,0.892,1254040.375
82,0.903,1263643.875
83,0.914,1276637.25
84,0.925,1294730.875
85,0.936,1312005.25
86,0.947,1339841.75
87,0.957,1374459.875
88,0.968,1404830.375
89,0.979,1427629.75
90,0.990,1454422.125
91,1.001,1473613.125
92,1.012,1491650.875
93,1.023,1500940.625
94,1.034,1510019.625
95,1.045,1514507.5
96,1.056,1514795.125
97,1.067,1517809.375
98,1.078,1525432.375
99,1.089,1526440.625
100,1.100,1529442
101,1.111,1516518.125
102,1.122,1491884.625
103,1.133,1461177.75
104,1.144,1432256.25
105,1.155,1407843.125
106,1.165,1407701
107,1.176,1409344.375
108,1.187,1424811.25
109,1.198,1433136.875
110,1.209,1439633.75
111,1.220,1449296.375
112,1.231,1457179.625
113,1.242,1459181.5
114,1.253,1468159
115,1.264,1472966.875
116,1.275,1464889.5
117,1.286,1466536.875
118,1.297,1457589.875
119,1.308,1449161.875
120,1.319,1444859
121,1.330,1456663
122,1.341,1460096.625
123,1.352,1471690.5
124,1.362,1479032.25
125,1.373,1492592.125
126,1.384,1515874
127,1.395,1555742.875
128,1.406,1597226
129,1.417,1636042.5
130,1.428,1662963.125
131,1.439,1688317.875
132,1.450,1742246.5
133,1.461,1840554.75
134,1.472,1984758.25
135,1.483,2154838.75
136,1.494,2344402.25
137,1.505,2513745.25
138,1.516,2679376.25
139,1.527,2826502.25
140,1.538,2976173.75
141,1.549,3105579.75
142,1.560,3217380.75
143,1.570,3315904.75
144,1.581,3407014
145,1.592,3454034.5
146,1.603,3492410.75
147,1.614,3523166.75
148,1.625,3539149.75
149,1.636,3556510.25
150,1.647,3591537.5
151,1.658,3626046.25
152,1.669,3659287.25
153,1.680,3678766.25
154,1.691,3690795.25
155,1.702,3697084
156,1.713,3683242.25
157,1.724,3659444.75
158,1.735,3634501.75
159,1.746,3575269.25
160,1.757,3482264.25
161,1.767,3356426.25
162,1.778,3250153.75
163,1.789,3146495
164,1.800,3083576
165,1.811,3063710.5
166,1.822,3078891
167,1.833,3091445
168,1.844,3101393.25
169,1.855,3116290.75
170,1.866,3114370.75
171,1.877,3102335
172,1.888,3075510.5
173,1.899,3061154.25
174,1.910,3031892
175,1.921,3007756
176,1.932,3000977.25
177,1.943,3001362.25
178,1.954,3023690.75
179,1.964,3065934.5
180,1.975,3112681.25
181,1.986,3177032.5
182,1.997,3269146.75
183,2.008,3387497.5
184,2.019,3541795.5
185,2.030,3733001.5
186,2.041,3902396.5
187,2.052,4101586.75
188,2.063,4289082.5
189,2.074,4452321.5
190,2.085,4631345
191,2.096,4837725.5
192,2.107,5039230.5
193,2.118,5323329
194,2.129,5696504.5
195,2.140,6106385.5
196,2.151,6573274
197,2.162,7057261.5
198,2.172,7481163
199,2.183,7839684.5
200,2.194,8135876
201,2.205,8356003
202,2.216,8519968
203,2.227,8641057
204,2.238,8727942
205,2.249,8789958
206,2.260,8846016
207,2.271,8875885
208,2.282,8921380
209,2.293,8944764
210,2.304,8975363
211,2.315,8998878
212,2.326,8977197
213,2.337,8919979
214,2.348,8858058
215,2.359,8716934
216,2.369,8547149
217,2.380,8380034
218,2.391,8158095.5
219,2.402,7832043
220,2.413,7465753
221,2.424,7049947.5
222,2.435,6614478
223,2.446,6243081
224,2.457,5975393
225,2.468,5763324
226,2.479,5609667
227,2.490,5476122
228,2.501,5309328.5
229,2.512,5131571
230,2.523,4941093.5
231,2.534,4712661
232,2.545,4495421
233,2.556,4271867
234,2.567,4085633.5
235,2.577,3903251.5
236,2.588,3749886.25
237,2.599,3612416.25
238,2.610,3487894.25
239,2.621,3367683.5
240,2.632,3273534.75
241,2.643,3189784.5
242,2.654,3114358.25
243,2.665,3044525.75
244,2.676,2965852.25
245,2.687,2877204
246,2.698,2789921.25
247,2.709,2699647
248,2.720,2608979
249,2.731,2518619.25
250,2.742,2458035
251,2.753,2403152
252,2.764,2362377.25
253,2.774,2342676.25
254,2.785,2331194
255,2.796,2316742.5
256,2.807,2307659.75
257,2.818,2294834.25
258,2.829,2295040.5
259,2.840,2288943.25
260,2.851,2290633.5
261,2.862,2288070.5
262,2.873,2282236.75
263,2.884,2263727.75
264,2.895,2260973.75
265,2.906,2256015
266,2.917,2257440.75
267,2.928,2271933
268,2.939,2283281
269,2.950,2293298.75
270,2.961,2305409.25
271,2.972,2323482.75
272,2.982,2327481.25
273,2.993,2338872.5
274,3.004,2336544.75
275,3.015,2330965
276,3.026,2322744.5
277,3.037,2335582.75
278,3.048,2334465.25
279,3.059,2364926.5
280,3.070,2423620
281,3.081,2574669.75
282,3.092,2896512.25
283,3.103,3159210.75
284,3.114,3324283.75
285,3.125,3452721.5
286,3.136,3510252.75
287,3.147,3496973.25
288,3.158,3631327.25
289,3.169,3812125.75
290,3.179,3918814.25
291,3.190,3968017
292,3.201,3932161
293,3.212,3841357.75
294,3.223,3727078
295,3.234,3620750.25
296,3.245,3506171.75
297,3.256,3409801
298,3.267,3308922.75
299,3.278,3214249.25
300,3.289,3107049.5
301,3.300,3021299
302,3.311,2961482.5
303,3.322,2946235.75
304,3.333,2936359.25
305,3.344,2941075.5
306,3.355,2938008.25
307,3.366,2935655.5
308,3.377,2932059.75
309,3.387,2941840.75
310,3.398,2955418.5
311,3.409,2971890.75
312,3.420,3002823.5
313,3.431,3030626.5
314,3.442,3048069
315,3.453,3071213.75
316,3.464,3088805
317,3.475,3059972
318,3.486,3016002.75
319,3.497,2959612.75
320,3.508,2886721.5
321,3.519,2832489.75
322,3.530,2822071.25
323,3.541,2833810.75
324,3.552,2875389
325,3.563,2919628.75
326,3.574,2959818.5
327,3.584,3008658.5
328,3.595,3055864.5
329,3.606,3087985.75
330,3.617,3132466.25
331,3.628,3165536.5
332,3.639,3176636.5
333,3.650,3182430.75
334,3.661,3172562.25
335,3.672,3163713.5
336,3.683,3096888.25
337,3.694,3059417.5
