#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1211335.625
1,0.016,1204863.875
2,0.027,1231133.875
3,0.038,1457034.125
4,0.049,1972441.125
5,0.060,2495819.25
6,0.071,2797140
7,0.082,2817351
8,0.093,2462444.75
9,0.104,1861039.5
10,0.115,1385985
11,0.126,1158475
12,0.137,1116790.25
13,0.147,1142250.75
14,0.158,1174405.625
15,0.169,1196541.5
16,0.180,1205551.875
17,0.191,1204457.625
18,0.202,1202516.125
19,0.213,1211539.875
20,0.224,1215093.25
21,0.235,1234114.75
22,0.246,1253527.5
23,0.257,1270469.375
24,0.268,1283723.875
25,0.279,1305547.875
26,0.290,1315856.25
27,0.301,1319303.5
28,0.312,1325332.5
29,0.323,1319147
30,0.334,1295679.625
31,0.345,1227279.125
32,0.355,1082176.625
33,0.366,870874.9375
34,0.377,645426.4375
35,0.388,465692.84375
36,0.399,401002.65625
37,0.410,491321.40625
38,0.421,706822.9375
39,0.432,972462.5625
40,0.443,1212258.25
41,0.454,1381466.375
42,0.465,1445749
43,0.476,1424145.75
44,0.487,1355668.875
45,0.498,1284224.625
46,0.509,1232205.5
47,0.520,1215254.25
48,0.531,1212507.25
49,0.542,1222501.625
50,0.552,1232310.625
51,0.563,1238792.125
52,0.574,1238396.25
53,0.585,1239956.875
54,0.596,1246093
55,0.607,1248956.375
56,0.618,1248905.25
57,0.629,1252368.625
58,0.640,1256574.25
59,0.651,1252227.875
60,0.662,1252426
61,0.673,1255600.125
62,0.684,1257391.125
63,0.695,1262242.25
64,0.706,1275871.375
65,0.717,1280839.75
66,0.728,1288221.5
67,0.739,1294115.375
68,0.750,1298652.875
69,0.760,1299785.25
70,0.771,1298396.75
71,0.782,1292877.375
72,0.793,1276945.5
73,0.804,1259902.75
74,0.815,1246692.25
75,0.826,1245921.5
76,0.837,1250979.375
77,0.848,1266066.875
78,0.859,1282163.875
79,0.870,1298105.875
80,0.881,1313402.125
81,0.892,1317710.5
82,0.903,1319191
83,0.914,1320213.25
84,0.925,1323023.5
85,0.936,1327461.75
86,0.947,1344146.125
87,0.957,1366722.125
88,0.968,1396004.625
89,0.979,1426004.875
90,0.990,1455010
91,1.001,1477869.375
92,1.012,1500354.5
93,1.023,1507935.5
94,1.034,1511950.625
95,1.045,1516176.75
96,1.056,1524476.625
97,1.067,1528864.75
98,1.078,1536919.5
99,1.089,1544099.125
100,1.100,1538763
101,1.111,1527570.875
102,1.122,1505161.125
103,1.133,1480228.875
104,1.144,1463525.5
105,1.155,1461082.5
106,1.165,1461500.125
107,1.176,1474243.75
108,1.187,1491018.5
109,1.198,1505776.25
110,1.209,1525576.125
111,1.220,1534052
112,1.231,1539796.875
113,1.242,1541022.25
114,1.253,1530533.5
115,1.264,1504634.625
116,1.275,1486388
117,1.286,1463204.625
118,1.297,1445098.625
119,1.308,1436269.25
120,1.319,1447354.625
121,1.330,1461028
122,1.341,1476944.875
123,1.352,1487220.875
124,1.362,1498012.625
125,1.373,1510296.75
126,1.384,1529722.375
127,1.395,1548942.5
128,1.406,1579140.875
129,1.417,1609686.875
130,1.428,1627018.625
131,1.439,1648895.5
132,1.450,1716793.125
133,1.461,1813002.875
134,1.472,1957769.75
135,1.483,2135965
136,1.494,2329487.25
137,1.505,2507400.25
138,1.516,2674861.25
139,1.527,2836251.5
140,1.538,2981442.5
141,1.549,3128476.5
142,1.560,3255984.75
143,1.570,3374485
144,1.581,3460269.75
145,1.592,3518995.5
146,1.603,3544346.25
147,1.614,3567187.5
148,1.625,3612753.75
149,1.636,3643704
150,1.647,3695005.75
151,1.658,3732577.75
152,1.669,3739741.5
153,1.680,3723364.5
154,1.691,3732777.5
155,1.702,3711980.75
156,1.713,3694303
157,1.724,3670242.75
158,1.735,3605928
159,1.746,3522785.25
160,1.757,3423482.75
161,1.767,3313384.75
162,1.778,3222062.25
163,1.789,3178216
164,1.800,3161264
165,1.811,3173882.25
166,1.822,3189978.75
167,1.833,3201202.75
168,1.844,3183641.75
169,1.855,3153112.5
170,1.866,3133756.5
171,1.877,3117676.5
172,1.888,3098748.5
173,1.899,3083584.25
174,1.910,3074272
175,1.921,3061096.25
176,1.932,3067692.5
177,1.943,3097445
178,1.954,3150098.25
179,1.964,3214536.5
180,1.975,3309739
181,1.986,3395393
182,1.997,3506679.25
183,2.008,3618805
184,2.019,3741478.25
185,2.030,3868665.25
186,2.041,4043681.25
187,2.052,4204256.5
188,2.063,4363488.5
189,2.074,4523110.5
190,2.085,4676461
191,2.096,4845698.5
192,2.107,5066384.5
