#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_2_10_L-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1271070.25
1,0.016,1224082.75
2,0.027,1242888.25
3,0.038,1452254.875
4,0.049,1923680.125
5,0.060,2416706
6,0.071,2711461
7,0.082,2737042
8,0.093,2403631.25
9,0.104,1844590
10,0.115,1397497.75
11,0.126,1190731.875
12,0.137,1154262.125
13,0.147,1187010.375
14,0.158,1226058.5
15,0.169,1257084.625
16,0.180,1270244.625
17,0.191,1276915.25
18,0.202,1276943.5
19,0.213,1280646.375
20,0.224,1282957.5
21,0.235,1294066.125
22,0.246,1307353.625
23,0.257,1330935.5
24,0.268,1351188.75
25,0.279,1360536.125
26,0.290,1366367.125
27,0.301,1368295.625
28,0.312,1353420.375
29,0.323,1334692
30,0.334,1297204.25
31,0.345,1189976.75
32,0.355,995316
33,0.366,750744.0625
34,0.377,502218.6875
35,0.388,303986.65625
36,0.399,217624.421875
37,0.410,263620.3125
38,0.421,406511.4375
39,0.432,606724.0625
40,0.443,821050.375
41,0.454,1006419.125
42,0.465,1137670
43,0.476,1212416.875
44,0.487,1240173.125
45,0.498,1247296.625
46,0.509,1245254.625
47,0.520,1250517.5
48,0.531,1252498.625
49,0.542,1257694.375
50,0.552,1261396.375
51,0.563,1272278.625
52,0.574,1272658.75
53,0.585,1270254.5
54,0.596,1266511.125
55,0.607,1265414.375
56,0.618,1260802.5
57,0.629,1261456.125
58,0.640,1251997
59,0.651,1241090.375
60,0.662,1221313.5
61,0.673,1209049
62,0.684,1200758.375
63,0.695,1213129.375
64,0.706,1219000.25
65,0.717,1236149.625
66,0.728,1247483.875
67,0.739,1257070.75
68,0.750,1264077.5
69,0.760,1278338.75
70,0.771,1284698.5
71,0.782,1294981.875
72,0.793,1304503
73,0.804,1305956.125
74,0.815,1305271.5
75,0.826,1304721.125
76,0.837,1300700.875
77,0.848,1299794.125
78,0.859,1311697.125
79,0.870,1318754.875
80,0.881,1321167.75
81,0.892,1318979
82,0.903,1325240.375
83,0.914,1334304.25
84,0.925,1361925.875
85,0.936,1409811.75
86,0.947,1461962.625
87,0.957,1494624.375
88,0.968,1505208
89,0.979,1501445.125
90,0.990,1480925.875
91,1.001,1458830.375
92,1.012,1451063.5
93,1.023,1456640.25
94,1.034,1468241.125
95,1.045,1486527.25
96,1.056,1503934.125
97,1.067,1519109.375
98,1.078,1539037.875
99,1.089,1558467
100,1.100,1569460.875
101,1.111,1573991
102,1.122,1568308.875
103,1.133,1553840.625
104,1.144,1538395
105,1.155,1534866.625
106,1.165,1538174
107,1.176,1541756.25
108,1.187,1544899
109,1.198,1537529.5
110,1.209,1537309.25
111,1.220,1534539.625
112,1.231,1525641.5
113,1.242,1522354.875
114,1.253,1512191.75
115,1.264,1496611.125
116,1.275,1472159.5
117,1.286,1451381.375
118,1.297,1425097.75
119,1.308,1408960.75
120,1.319,1405492.875
121,1.330,1422937
122,1.341,1443677.375
123,1.352,1473023.5
124,1.362,1508254.125
125,1.373,1533067.625
126,1.384,1555325.75
127,1.395,1579166.625
128,1.406,1601982.5
129,1.417,1629089.375
130,1.428,1659930
131,1.439,1717039.125
132,1.450,1818052.625
133,1.461,1961912.625
134,1.472,2142984.25
135,1.483,2338716.25
136,1.494,2528537.5
137,1.505,2706123
138,1.516,2866903.5
139,1.527,3020837
140,1.538,3170354.5
141,1.549,3336094.25
142,1.559,3471742.25
143,1.570,3614620.5
144,1.581,3696953.75
145,1.592,3735467.25
146,1.603,3680767
147,1.614,3609220.5
148,1.625,3515206
149,1.636,3487642.25
150,1.647,3468293.25
151,1.658,3481992
152,1.669,3514945
153,1.680,3533727.5
154,1.691,3551734.75
155,1.702,3563844.75
156,1.713,3568500
157,1.724,3535755.5
158,1.735,3501189
159,1.746,3454545
160,1.757,3424947.5
161,1.767,3363042.75
162,1.778,3309166.75
163,1.789,3260603
164,1.800,3200837.25
165,1.811,3164696.25
166,1.822,3146195
