#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_8_40_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1212596.375
1,0.016,1225003.875
2,0.027,1228926.625
3,0.038,1448385.375
4,0.049,1941757.75
5,0.060,2435786.25
6,0.071,2727792.5
7,0.082,2748557.25
8,0.093,2404381.25
9,0.104,1833929.75
10,0.115,1373525.375
11,0.126,1155633.875
12,0.137,1109393.5
13,0.147,1135308.75
14,0.158,1166968.25
15,0.169,1191165.5
16,0.180,1193319.375
17,0.191,1188462.875
18,0.202,1182838.125
19,0.213,1192032.75
20,0.224,1210806.5
21,0.235,1235027.25
22,0.246,1263552.625
23,0.257,1292856
24,0.268,1313700.75
25,0.279,1321002
26,0.290,1336007.125
27,0.301,1336408
28,0.312,1339257.375
29,0.323,1341362.25
30,0.334,1310804.125
31,0.345,1167035.75
32,0.355,930613.25
33,0.366,648235.5
34,0.377,369613.8125
35,0.388,155721.625
36,0.399,57186.8828125
37,0.410,54095.3046875
38,0.421,94746.5078125
39,0.432,168850.71875
40,0.443,276883.46875
41,0.454,401573.71875
42,0.465,530871.125
43,0.476,644385.6875
44,0.487,736546.4375
45,0.498,802740.1875
46,0.509,860998.4375
47,0.520,911131.1875
48,0.531,962379.9375
49,0.542,1005903.6875
50,0.552,1043054.25
51,0.563,1070690.125
52,0.574,1091176.75
53,0.585,1109206.125
54,0.596,1125195.875
55,0.607,1137872.125
56,0.618,1154805.625
57,0.629,1171319
58,0.640,1183964.375
59,0.651,1200428.5
60,0.662,1220268.125
61,0.673,1233037.125
62,0.684,1249817
63,0.695,1267165.375
64,0.706,1279714.125
65,0.717,1290112
66,0.728,1297717
67,0.739,1296435.875
68,0.750,1291646.125
69,0.760,1285307.375
70,0.771,1268271.5
71,0.782,1258796.625
72,0.793,1250119
73,0.804,1234914
74,0.815,1224302.625
75,0.826,1221674.75
76,0.837,1215479.125
77,0.848,1219683.875
78,0.859,1232085.625
79,0.870,1242392.25
80,0.881,1250130.5
81,0.892,1252684.25
82,0.903,1250807.75
83,0.914,1270246.625
84,0.925,1311080
85,0.936,1377011.875
86,0.947,1454159.125
87,0.957,1521291
88,0.968,1560254.25
89,0.979,1560323.625
90,0.990,1537405.25
91,1.001,1511638.625
92,1.012,1486385.125
93,1.023,1465276.125
94,1.034,1466298.625
95,1.045,1471212.375
96,1.056,1480730
97,1.067,1493090.625
98,1.078,1501442.125
99,1.089,1508546.875
100,1.100,1511470.375
101,1.111,1496369.375
102,1.122,1478482.375
103,1.133,1453510.875
104,1.144,1429291.25
105,1.155,1410818
106,1.165,1411269.75
107,1.176,1424421.875
108,1.187,1438989
109,1.198,1453828
110,1.209,1471659
111,1.220,1477444.875
112,1.231,1479037.25
113,1.242,1481553.25
114,1.253,1481129.25
115,1.264,1469381.5
116,1.275,1462134
117,1.286,1453346.125
118,1.297,1451289.25
119,1.308,1451782.125
120,1.319,1466260.25
121,1.330,1481087.625
122,1.341,1495518.5
123,1.352,1509498.875
124,1.362,1528254.5
125,1.373,1542736.375
126,1.384,1566289.5
127,1.395,1591731.75
128,1.406,1613655
129,1.417,1632494.875
130,1.428,1650026.625
131,1.439,1685838.5
132,1.450,1780906.625
133,1.461,1933633.75
134,1.472,2132969
135,1.483,2348786
136,1.494,2533049.5
137,1.505,2671266.75
138,1.516,2793390
139,1.527,2891383.5
140,1.538,3009713.75
141,1.549,3146016
142,1.559,3289780.5
143,1.570,3443257.75
144,1.581,3570353.25
145,1.592,3646919.25
146,1.603,3674728.25
147,1.614,3674089.75
148,1.625,3639193.25
149,1.636,3623543.25
150,1.647,3615348.5
151,1.658,3609058.75
152,1.669,3600945.75
153,1.680,3591699.5
154,1.691,3572701.25
155,1.702,3571258.25
156,1.713,3558650.5
157,1.724,3534384
158,1.735,3502908.75
159,1.746,3460355
160,1.757,3382041.25
161,1.767,3301654.75
162,1.778,3223895.25
163,1.789,3159611
164,1.800,3122290.25
165,1.811,3108382
166,1.822,3107872.5
167,1.833,3107908.75
168,1.844,3098297.5
169,1.855,3084784.5
170,1.866,3079666.75
171,1.877,3071800.25
172,1.888,3061437.75
173,1.899,3052673.25
174,1.910,3026964.75
175,1.921,2991969.75
176,1.932,2973842.25
177,1.943,2951251.5
178,1.954,2963780
179,1.964,2990897.25
180,1.975,3042994.75
181,1.986,3100409.75
182,1.997,3212676.75
183,2.008,3313579.5
184,2.019,3447757.75
185,2.030,3595439
186,2.041,3759609
187,2.052,3929491.5
188,2.063,4124175.75
189,2.074,4292447
190,2.085,4474865
191,2.096,4700474.5
192,2.107,4971505.5
193,2.118,5328668.5
194,2.129,5772285
195,2.140,6248862
196,2.151,6734843.5
197,2.162,7172620
198,2.172,7571037.5
199,2.183,7921283
200,2.194,8195765
201,2.205,8425881
202,2.216,8637302
203,2.227,8768973
204,2.238,8874059
205,2.249,8951236
206,2.260,8988317
207,2.271,8997604
208,2.282,9039807
209,2.293,9072191
210,2.304,9088495
211,2.315,9057914
212,2.326,9006554
213,2.337,8920474
214,2.348,8808029
215,2.359,8683885
216,2.369,8552283
217,2.380,8353317.5
218,2.391,8089461
219,2.402,7705447
220,2.413,7179076.5
221,2.424,6493882
222,2.435,5837203
223,2.446,5287991.5
224,2.457,4932752.5
225,2.468,4774954
226,2.479,4778093.5
227,2.490,4804618
228,2.501,4766017.5
229,2.512,4671357
230,2.523,4545079.5
231,2.534,4384138.5
232,2.545,4194189
233,2.556,4005755.5
234,2.567,3837934.75
235,2.577,3661470.25
236,2.588,3514687
237,2.599,3380746.75
238,2.610,3276161.25
239,2.621,3182065.5
240,2.632,3086401.5
241,2.643,2984784.25
242,2.654,2882140.75
243,2.665,2814046
244,2.676,2730620.75
245,2.687,2668492.75
246,2.698,2585227
247,2.709,2516394.5
248,2.720,2422071
249,2.731,2360496.25
250,2.742,2305082.75
251,2.753,2283137
252,2.764,2264450.5
253,2.774,2271851.75
254,2.785,2274342.25
255,2.796,2274185.25
256,2.807,2267170.5
257,2.818,2257748
258,2.829,2240014.75
259,2.840,2227959.75
260,2.851,2219437.5
261,2.862,2213394.75
262,2.873,2209674.75
263,2.884,2211690.25
264,2.895,2217481.5
265,2.906,2229905
266,2.917,2238626.75
267,2.928,2249993.5
268,2.939,2263535.75
269,2.950,2275070.5
270,2.961,2283927.75
271,2.971,2292764
272,2.982,2293004
273,2.993,2285142.75
274,3.004,2276723.75
275,3.015,2266105.5
276,3.026,2259222.25
277,3.037,2244749
278,3.048,2251987
279,3.059,2267038.25
280,3.070,2306914.5
281,3.081,2380937.75
282,3.092,2640033.25
283,3.103,3011422
284,3.114,3358281.75
285,3.125,3686419.25
286,3.136,3952637.75
287,3.147,4041909.5
288,3.158,4034363.25
289,3.169,4035391
290,3.179,3973998
291,3.190,3874238
292,3.201,3742930.25
293,3.212,3614289
294,3.223,3494916.75
295,3.234,3406101.75
296,3.245,3328649.5
297,3.256,3271737.25
298,3.267,3203634.25
299,3.278,3141654.5
300,3.289,3065496.75
301,3.300,3008676.75
302,3.311,2971611.5
303,3.322,2966793.75
304,3.333,2972557.25
305,3.344,2966135.5
306,3.355,2958759.5
307,3.366,2943638
308,3.376,2941967.25
309,3.387,2948148
310,3.398,2986954.25
311,3.409,3022335.25
312,3.420,3077861
313,3.431,3117707.5
314,3.442,3158886.25
315,3.453,3172292.5
316,3.464,3186624.5
317,3.475,3180608
318,3.486,3175786.75
319,3.497,3159154.5
320,3.508,3149932.5
321,3.519,3115987
322,3.530,3049704.5
323,3.541,2932879
324,3.552,2780302.25
325,3.563,2629854
326,3.574,2519952.25
327,3.584,2491372
328,3.595,2561949.25
329,3.606,2697852.75
330,3.617,2845110.5
331,3.628,3001978.5
332,3.639,3128986.25
333,3.650,3214052
334,3.661,3257806.75
335,3.672,3301366.75
336,3.683,3253587
337,3.694,3308260.75
