#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_7_35_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1224059.5
1,0.016,1248916.25
2,0.027,1266145.75
3,0.038,1506996.375
4,0.049,2026348.25
5,0.060,2573554.5
6,0.071,2888342
7,0.082,2904547
8,0.093,2545394
9,0.104,1940431.5
10,0.115,1436221.5
11,0.126,1196072.75
12,0.137,1154607
13,0.147,1178101.5
14,0.158,1214163.125
15,0.169,1241624.875
16,0.180,1257643
17,0.191,1261913.75
18,0.202,1261358.75
19,0.213,1256826.75
20,0.224,1247179.75
21,0.235,1238610.875
22,0.246,1228001.25
23,0.257,1226692.625
24,0.268,1236292.125
25,0.279,1251497.75
26,0.290,1279971.5
27,0.301,1301018.75
28,0.312,1325100
29,0.323,1337854.125
30,0.334,1327945.5
31,0.345,1200777.25
32,0.355,973623.4375
33,0.366,687771.8125
34,0.377,405311.3125
35,0.388,173066
36,0.399,69964.2265625
37,0.410,69223.46875
38,0.421,120375.4921875
39,0.432,212406.65625
40,0.443,339097.53125
41,0.454,481946.4375
42,0.465,621791.5625
43,0.476,748714.1875
44,0.487,841754.9375
45,0.498,914336.375
46,0.509,975658
47,0.520,1027465.8125
48,0.531,1061655
49,0.542,1084744.5
50,0.552,1089024.75
51,0.563,1082140.375
52,0.574,1077019.75
53,0.585,1080511.25
54,0.596,1094598.75
55,0.607,1115050.625
56,0.618,1141016.375
57,0.629,1168631.25
58,0.640,1194133.25
59,0.651,1221717.25
60,0.662,1243401.875
61,0.673,1260495
62,0.684,1269939
63,0.695,1277418.75
64,0.706,1276759.125
65,0.717,1271630.75
66,0.728,1261741
67,0.739,1255912.5
68,0.750,1248748.375
69,0.760,1248687.125
70,0.771,1252886.75
71,0.782,1257818.75
72,0.793,1261966.375
73,0.804,1270093
74,0.815,1274885
75,0.826,1281079.125
76,0.837,1280656.375
77,0.848,1275317
78,0.859,1263307.125
79,0.870,1246583.25
80,0.881,1230955.875
81,0.892,1119276.25
82,0.903,1093002.875
83,0.914,1095545.375
84,0.925,1141733.25
85,0.936,1224364.375
86,0.947,1405495
87,0.957,1487967.5
88,0.968,1555060.25
89,0.979,1586317.5
90,0.990,1589409.375
91,1.001,1563111.75
92,1.012,1528225.375
93,1.023,1499606.5
94,1.034,1470523.5
95,1.045,1455424.875
96,1.056,1453346.5
97,1.067,1454084.375
98,1.078,1458739.25
99,1.089,1473782.375
100,1.100,1478822.125
101,1.111,1484716.375
102,1.122,1493752.125
103,1.133,1499506.875
104,1.144,1507036.625
105,1.155,1518907.125
106,1.165,1525659.25
107,1.176,1521458.375
108,1.187,1507640.625
109,1.198,1486302.5
110,1.209,1461102.875
111,1.220,1447374.125
112,1.231,1447704.875
113,1.242,1451947
114,1.253,1463579.25
115,1.264,1473259.25
116,1.275,1487029.875
117,1.286,1487753.25
118,1.297,1494157.5
119,1.308,1504246.875
120,1.319,1513500.125
121,1.330,1519528.75
122,1.341,1534783.625
123,1.352,1547011
124,1.362,1552356.625
125,1.373,1559808.625
126,1.384,1573834.25
127,1.395,1603594.875
128,1.406,1634868
129,1.417,1675933.375
130,1.428,1728012.25
131,1.439,1804653.125
132,1.450,1938680.5
133,1.461,2130350.25
134,1.472,2357821.75
135,1.483,2582345.75
136,1.494,2751745.25
137,1.505,2845278
138,1.516,2891905.75
139,1.527,2916658.25
140,1.538,2980139.75
141,1.549,3091317.25
142,1.559,3227993.25
143,1.570,3400120.25
144,1.581,3560212
145,1.592,3663021.75
146,1.603,3741043.5
147,1.614,3792397.75
148,1.625,3806824.5
149,1.636,3818097.25
150,1.647,3811061.5
151,1.658,3765897.5
152,1.669,3705244.75
153,1.680,3646930.5
154,1.691,3576412.5
155,1.702,3527148.75
156,1.713,3492409.75
157,1.724,3480184.5
158,1.735,3457641.5
159,1.746,3446139.5
160,1.757,3448874.5
161,1.767,3442085.25
162,1.778,3402373
163,1.789,3363343.5
164,1.800,3340724.75
165,1.811,3271673.5
166,1.822,3186341.25
167,1.833,3105751.25
168,1.844,3018045
169,1.855,2928611.75
170,1.866,2900001.5
171,1.877,2897683.75
172,1.888,2906335.25
173,1.899,2926377.75
174,1.910,2946193.5
175,1.921,2953515
176,1.932,2982882.25
177,1.943,3008018.75
178,1.954,3038954.75
179,1.964,3076941
180,1.975,3112089.5
181,1.986,3153435
182,1.997,3223932.75
183,2.008,3317998.25
184,2.019,3414991
185,2.030,3590694.75
186,2.041,3781467.75
187,2.052,4009920.25
188,2.063,4282791.5
189,2.074,4594282.5
190,2.085,4876603.5
191,2.096,5206155.5
192,2.107,5508476
193,2.118,5805637
194,2.129,6084852.5
195,2.140,6364591
196,2.151,6603948
197,2.162,6878915.5
198,2.172,7122244.5
199,2.183,7393627.5
200,2.194,7639835.5
201,2.205,7869332
202,2.216,8068286.5
203,2.227,8279497.5
204,2.238,8448470
205,2.249,8586579
206,2.260,8695270
207,2.271,8763071
208,2.282,8769137
209,2.293,8773020
210,2.304,8749240
211,2.315,8706623
212,2.326,8651045
213,2.337,8605697
214,2.348,8567844
215,2.359,8522666
216,2.369,8435631
217,2.380,8290749.5
218,2.391,8122375
219,2.402,7841068.5
220,2.413,7442451.5
221,2.424,6891159
222,2.435,6265705.5
223,2.446,5607756
224,2.457,5078254
225,2.468,4745906.5
226,2.479,4582782.5
227,2.490,4506409.5
228,2.501,4459130
229,2.512,4417250
230,2.523,4358318.5
231,2.534,4284829.5
232,2.545,4173208.5
233,2.556,4049505.25
234,2.567,3881361
235,2.577,3708159.5
236,2.588,3546898.5
237,2.599,3405292
238,2.610,3253562.5
239,2.621,3120226.25
240,2.632,2999699
241,2.643,2904009.25
242,2.654,2818550
243,2.665,2754620.25
244,2.676,2695066.75
245,2.687,2630441.25
246,2.698,2556207.5
247,2.709,2499506
248,2.720,2446381.25
249,2.731,2401958.75
250,2.742,2375825.75
251,2.753,2355763.75
252,2.764,2316804.75
