#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_2_10_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1287882.5
1,0.016,1291165.875
2,0.027,1299613.75
3,0.038,1483056.375
4,0.049,1916589.375
5,0.060,2369126
6,0.071,2635400.5
7,0.082,2645769.5
8,0.093,2338473.25
9,0.104,1814972.125
10,0.115,1389020.625
11,0.126,1188741.75
12,0.137,1167172.75
13,0.147,1209710.625
14,0.158,1258944.375
15,0.169,1289407.75
16,0.180,1308222.625
17,0.191,1311407
18,0.202,1300719.25
19,0.213,1284919.625
20,0.224,1284552.5
21,0.235,1286682.375
22,0.246,1293696.625
23,0.257,1316991.875
24,0.268,1341989.375
25,0.279,1355463.25
26,0.290,1366683.25
27,0.301,1374409.75
28,0.312,1373480.875
29,0.323,1373767.875
30,0.334,1360978.125
31,0.345,1271957.5
32,0.355,1081369.875
33,0.366,825593.75
34,0.377,554809.875
35,0.388,329240.96875
36,0.399,225219.390625
37,0.410,265224.1875
38,0.421,414845.15625
39,0.432,624901
40,0.443,846463
41,0.454,1040112.8125
42,0.465,1173759.25
43,0.476,1240789.875
44,0.487,1260926.25
45,0.498,1257905.875
46,0.509,1251310.125
47,0.520,1243006.75
48,0.531,1237029.375
49,0.542,1227803.75
50,0.552,1226947.625
51,0.563,1225674.5
52,0.574,1233442.625
53,0.585,1239025.25
54,0.596,1251309.125
55,0.607,1257052.375
56,0.618,1263538.375
57,0.629,1269650.75
58,0.640,1273244.75
59,0.651,1273985.625
60,0.662,1276953.25
61,0.673,1272800.375
62,0.684,1263924.625
63,0.695,1256671.5
64,0.706,1249311.5
65,0.717,1246060.75
66,0.728,1246946.125
67,0.739,1260408.25
68,0.750,1272291.875
69,0.760,1286802.5
70,0.771,1294664.625
71,0.782,1302895.25
72,0.793,1295286.625
73,0.804,1294335.5
74,0.815,1286223.125
75,0.826,1282161.5
76,0.837,1280068.5
77,0.848,1278448.25
78,0.859,1272154.125
79,0.870,1267004.375
80,0.881,1265936.375
81,0.892,1265221.75
82,0.903,1271023.625
83,0.914,1285356.625
84,0.925,1320836.625
85,0.936,1366254.875
86,0.947,1420624.75
87,0.957,1482573.375
88,0.968,1534552.625
89,0.979,1553978.875
90,0.990,1546817.375
91,1.001,1526597.125
92,1.012,1493193.875
93,1.023,1457667.25
94,1.034,1443302.875
95,1.045,1445084.625
96,1.056,1457221.375
97,1.067,1472963.125
98,1.078,1498462.5
99,1.089,1514400.375
100,1.100,1529489.75
101,1.111,1540518.5
102,1.122,1556021.5
103,1.133,1568683.75
104,1.144,1570207.5
105,1.155,1568940.625
106,1.165,1566069.375
107,1.176,1558165.875
108,1.187,1555788.375
109,1.198,1557975.5
110,1.209,1556236.375
111,1.220,1554947.5
112,1.231,1559985.25
113,1.242,1557832
114,1.253,1559634.625
115,1.264,1557793.375
116,1.275,1548887.25
117,1.286,1534454.5
118,1.297,1519681.75
119,1.308,1501027.125
120,1.319,1480051.5
121,1.330,1464478.5
122,1.341,1454476.375
123,1.352,1453391.5
124,1.362,1468554.5
125,1.373,1502692.875
126,1.384,1545513.125
127,1.395,1590652.75
128,1.406,1636524.125
129,1.417,1684252.875
130,1.428,1730908.875
131,1.439,1801587.75
132,1.450,1920822.5
133,1.461,2091767.875
134,1.472,2282545.5
135,1.483,2488564.75
136,1.494,2676296.25
137,1.505,2829992.25
138,1.516,2960728.75
139,1.527,3091946.5
140,1.538,3249406.25
141,1.549,3387878.25
142,1.559,3519872.25
143,1.570,3642044.5
144,1.581,3751349
145,1.592,3807160
146,1.603,3843259.75
147,1.614,3842954.75
148,1.625,3789358
149,1.636,3703810.75
150,1.647,3602588.75
151,1.658,3522006.25
152,1.669,3451970.75
153,1.680,3427361.75
