#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B04-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1208951.5
1,0.016,1146022.5
2,0.027,1187649.25
3,0.038,1383713.5
4,0.049,1861648.875
5,0.060,2353105.5
6,0.071,2656392.75
7,0.082,2688257.5
8,0.093,2373780.25
9,0.104,1812236.75
10,0.115,1365770.5
11,0.126,1138928.125
12,0.137,1088068.5
13,0.147,1123705.875
14,0.158,1166503.25
15,0.169,1201920.25
16,0.180,1222799.375
17,0.191,1230607.875
18,0.202,1214991.625
19,0.213,1220278.5
20,0.224,1226733.5
21,0.235,1239545
22,0.246,1261366
23,0.257,1284582.75
24,0.268,1304357.875
25,0.279,1316645.875
26,0.290,1321960.5
27,0.301,1318610.25
28,0.312,1312667.5
29,0.323,1293686.625
30,0.334,1241669.25
31,0.345,1104076.125
32,0.355,879572.8125
33,0.366,616320.0625
34,0.377,364733.21875
35,0.388,171514.078125
36,0.399,83747.0859375
37,0.410,88115.6640625
38,0.421,149068.65625
39,0.432,248143.53125
40,0.443,378614.625
41,0.454,525817.1875
42,0.465,663479.8125
43,0.476,775452.9375
44,0.487,862850
45,0.498,928790.9375
46,0.509,973745.75
47,0.520,1017619.8125
48,0.531,1051151.375
49,0.542,1076734
50,0.552,1099067.875
51,0.563,1126416.5
52,0.574,1142895
53,0.585,1162210.5
54,0.596,1176509.25
55,0.607,1185596.625
56,0.618,1193045.5
57,0.629,1199739.875
58,0.640,1201011.875
59,0.651,1195765.25
60,0.662,1193765.125
61,0.673,1194007.625
62,0.684,1202714.125
63,0.695,1221772.125
64,0.706,1245038.625
65,0.717,1265009.875
66,0.728,1280010
67,0.739,1295665.75
68,0.750,1304034.625
69,0.760,1316773.125
70,0.771,1323303.75
71,0.782,1322689.75
72,0.793,1316065
73,0.804,1305300.875
74,0.815,1290791.25
75,0.826,1273925.25
76,0.837,1269387.875
77,0.848,1261327.5
78,0.859,1256704.125
79,0.870,1256976.5
80,0.881,1267298.375
81,0.892,1268800.75
82,0.903,1280194.75
83,0.914,1299672.25
84,0.925,1335644.625
85,0.936,1387983.75
86,0.947,1450766.5
87,0.957,1496687.25
88,0.968,1517944.25
89,0.979,1502012.75
90,0.990,1470454.5
91,1.001,1435487.5
92,1.012,1413983.625
93,1.023,1406478.625
94,1.034,1415410.875
95,1.045,1418828.25
96,1.056,1422996.25
97,1.067,1427737.75
98,1.078,1438446.875
99,1.089,1442825.875
100,1.100,1453009.875
101,1.111,1462362.625
102,1.122,1467034.875
103,1.133,1457163.25
104,1.144,1461903
105,1.155,1463619.625
106,1.165,1472284.875
107,1.176,1477691.125
108,1.187,1492017.5
109,1.198,1494707.625
110,1.209,1498763.75
111,1.220,1496279.625
112,1.231,1500175.625
113,1.242,1496959.5
114,1.253,1488874.5
115,1.264,1475985.875
116,1.275,1456492.125
117,1.286,1429152.625
118,1.297,1404870.125
119,1.308,1394682.5
120,1.319,1397200.125
121,1.330,1407263
122,1.341,1428627.25
123,1.352,1447721
124,1.362,1465950.5
125,1.373,1490224.25
126,1.384,1524766.625
127,1.395,1555516.125
128,1.406,1595518.375
129,1.417,1629270.5
130,1.428,1654351.5
131,1.439,1702402.5
132,1.450,1788581.75
133,1.461,1906368.125
134,1.472,2052462.875
135,1.483,2223429.75
136,1.494,2377056.75
137,1.505,2492053
138,1.516,2575178.5
139,1.527,2655248
140,1.538,2750717.75
141,1.549,2924565
142,1.559,3236168.5
143,1.570,3655853
144,1.581,4064730
145,1.592,4358782.5
146,1.603,4432316
147,1.614,4294878.5
148,1.625,4033025
149,1.636,3788830.75
150,1.647,3616983.25
151,1.658,3536047
152,1.669,3506177
153,1.680,3508352.25
154,1.691,3490845.25
155,1.702,3487446.75
156,1.713,3485742.25
157,1.724,3475561
158,1.735,3450267.75
159,1.746,3430884.5
160,1.757,3393829
161,1.767,3364921.75
162,1.778,3321654
163,1.789,3284164.5
164,1.800,3258063.5
165,1.811,3242942.25
166,1.822,3225227
167,1.833,3227895
168,1.844,3231018.5
169,1.855,3223706.25
170,1.866,3216594.25
171,1.877,3193773.25
172,1.888,3157722.5
173,1.899,3100181.75
174,1.910,3031904.5
175,1.921,2951431.5
176,1.932,2867000.75
177,1.943,2822603.75
178,1.954,2813759
179,1.964,2850859.5
180,1.975,2934428.25
181,1.986,3067104.75
182,1.997,3213778.5
183,2.008,3380241.5
184,2.019,3581996.5
185,2.030,3798027.75
186,2.041,4055469
187,2.052,4305441.5
188,2.063,4567757
189,2.074,4797956.5
190,2.085,5030758
191,2.096,5239351.5
192,2.107,5490023
193,2.118,5805239.5
194,2.129,6176695.5
195,2.140,6545573.5
196,2.151,6890961
197,2.162,7080134.5
198,2.172,7106855
199,2.183,7059308.5
200,2.194,7006399
201,2.205,7085108.5
202,2.216,7345531.5
203,2.227,7683019.5
204,2.238,7998848.5
205,2.249,8296517.5
206,2.260,8458501
207,2.271,8556536
208,2.282,8647469
209,2.293,8718413
210,2.304,8766743
211,2.315,8804746
212,2.326,8787874
213,2.337,8749521
214,2.348,8699659
215,2.359,8608801
216,2.369,8510860
217,2.380,8431969
218,2.391,8302723
219,2.402,8162164
220,2.413,7924665
221,2.424,7603455.5
222,2.435,7212844.5
223,2.446,6829561
224,2.457,6441342
225,2.468,6129244.5
226,2.479,5834377.5
227,2.490,5536709
228,2.501,5216216.5
229,2.512,4931675
230,2.523,4691280.5
231,2.534,4506363
232,2.545,4350173.5
233,2.556,4195040
234,2.567,4023075.5
235,2.577,3852413
236,2.588,3700394.5
237,2.599,3575316.75
238,2.610,3483304
239,2.621,3423601.5
240,2.632,3381448
241,2.643,3347076.5
242,2.654,3314050.25
243,2.665,3257257.5
244,2.676,3196176
245,2.687,3119097.25
246,2.698,3030608.5
247,2.709,2943744
248,2.720,2862392.5
249,2.731,2773594.75
250,2.742,2700154
251,2.753,2642729.75
252,2.764,2599483
253,2.774,2578294.5
254,2.785,2558658.75
255,2.796,2557366.5
256,2.807,2558041
257,2.818,2568914
258,2.829,2575216.75
259,2.840,2582498.5
260,2.851,2589609
261,2.862,2603801.25
262,2.873,2597032.75
263,2.884,2602355
264,2.895,2616366.5
265,2.906,2631504.5
266,2.917,2642508.75
267,2.928,2677752.5
268,2.939,2716275.75
269,2.950,2757334.5
270,2.961,2793826
271,2.971,2854486.5
272,2.982,2888601.25
273,2.993,2899798.25
274,3.004,2900394.75
275,3.015,2912893
276,3.026,2938061.25
277,3.037,2987941.75
278,3.048,3056309.75
279,3.059,3145750.25
280,3.070,3276845
281,3.081,3427929.75
282,3.092,3420137
283,3.103,3133271.5
284,3.114,2670485.75
285,3.125,2132054.5
286,3.136,1637050.625
287,3.147,1422560.75
288,3.158,1505119.75
289,3.169,1719454.875
290,3.179,1977684
291,3.190,2251181
292,3.201,2527407.75
293,3.212,2806380
294,3.223,3062036.5
295,3.234,3275826.75
296,3.245,3450962.25
297,3.256,3565847.25
298,3.267,3622846
299,3.278,3639209
300,3.289,3645315.25
301,3.300,3610143.25
302,3.311,3555226.5
303,3.322,3508507.25
304,3.333,3437476
305,3.344,3366805.25
306,3.355,3308721.25
307,3.366,3254496.25
308,3.376,3183055
309,3.387,3138325
310,3.398,3095601.25
311,3.409,3086598
312,3.420,3089547.75
313,3.431,3097744
314,3.442,3111784.5
315,3.453,3121303
316,3.464,3115556.75
317,3.475,3108791.5
318,3.486,3099462.25
319,3.497,3063852.5
320,3.508,3027877.25
321,3.519,2994231.25
322,3.530,2954676.75
323,3.541,2918571.75
324,3.552,2897000.75
325,3.563,2876064.75
326,3.574,2867607
327,3.584,2892611.75
328,3.595,2931956.75
329,3.606,2984613.25
330,3.617,3040708.5
331,3.628,3086587
332,3.639,3116082.75
333,3.650,3135053.75
334,3.661,3142284
335,3.672,3145933.25
336,3.683,3154632.75
337,3.694,3185550.25
