#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_3_15_L-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1200976.75
1,0.016,1211537
2,0.027,1225209
3,0.038,1477533.875
4,0.049,2012797.625
5,0.060,2561841.75
6,0.071,2897149.25
7,0.082,2933984.75
8,0.093,2563538
9,0.104,1936801.75
10,0.115,1422793.5
11,0.126,1163274
12,0.137,1105717.25
13,0.147,1135911.875
14,0.158,1182679.25
15,0.169,1218539.75
16,0.180,1238138.5
17,0.191,1255367.25
18,0.202,1266955.125
19,0.213,1273246.375
20,0.224,1282980
21,0.235,1289537.375
22,0.246,1298015.625
23,0.257,1300340.75
24,0.268,1295622.625
25,0.279,1284705
26,0.290,1276659.125
27,0.301,1267552.375
28,0.312,1273923.875
29,0.323,1285754.875
30,0.334,1280276.125
31,0.345,1192612.75
32,0.355,1001805.5
33,0.366,747998.0625
34,0.377,484976.625
35,0.388,261782.484375
36,0.399,153071.625
37,0.410,166960.953125
38,0.421,264554.40625
39,0.432,417109.15625
40,0.443,590251.5625
41,0.454,763049.75
42,0.465,907514.3125
43,0.476,1014876.3125
44,0.487,1080336.125
45,0.498,1129336.375
46,0.509,1165232.75
47,0.520,1197737.625
48,0.531,1217665.25
49,0.542,1232034
50,0.552,1238570.25
51,0.563,1236531
52,0.574,1219738.375
53,0.585,1195119.125
54,0.596,1172439.875
55,0.607,1151690.375
56,0.618,1143346.75
57,0.629,1149846.125
58,0.640,1173946.5
59,0.651,1197130.375
60,0.662,1224041.5
61,0.673,1251870.625
62,0.684,1276793.75
63,0.695,1287498.375
64,0.706,1298987.5
65,0.717,1298565.5
66,0.728,1289645.25
67,0.739,1279210.125
68,0.750,1275837.375
69,0.760,1261977.75
70,0.771,1256453.875
71,0.782,1263309.5
72,0.793,1273603.875
73,0.804,1284413.75
74,0.815,1295179.25
75,0.826,1303456.75
76,0.837,1302533.5
77,0.848,1302546.125
78,0.859,1300490.375
79,0.870,1301993.375
80,0.881,1297685.125
81,0.892,1288915.125
82,0.903,1280997.875
83,0.914,1273683.25
84,0.925,1286516.75
85,0.936,1314765.875
86,0.947,1358015.5
87,0.957,1408140.875
88,0.968,1447307
89,0.979,1466812.625
90,0.990,1472461.5
91,1.001,1474278.5
92,1.012,1464400.75
93,1.023,1463113.75
94,1.034,1466456
95,1.045,1474574
96,1.056,1476604.875
97,1.067,1482464
98,1.078,1488735.125
99,1.089,1495327.5
100,1.100,1505121.125
101,1.111,1515135.625
102,1.122,1532539.75
103,1.133,1553206.625
104,1.144,1570753.75
105,1.155,1575492
106,1.165,1577677.75
107,1.176,1572193.75
108,1.187,1559508.25
109,1.198,1541546
110,1.209,1528664.125
111,1.220,1505269.375
112,1.231,1469471.625
113,1.242,1439490.5
114,1.253,1427727.5
115,1.264,1428917.5
116,1.275,1437887.5
117,1.286,1455712.125
118,1.297,1471752.25
119,1.308,1482265.125
120,1.319,1498813.5
121,1.330,1513154.125
122,1.341,1518987.625
123,1.352,1526385.5
124,1.362,1530275.625
125,1.373,1532799.5
126,1.384,1548268.25
127,1.395,1572104.75
128,1.406,1598456.125
129,1.417,1631543
130,1.428,1666220.625
131,1.439,1720859.125
132,1.450,1830009.375
133,1.461,1990342.25
134,1.472,2180314.25
135,1.483,2385159
136,1.494,2575001.25
137,1.505,2719397
138,1.516,2834130
139,1.527,2922202.5
140,1.538,2970082.25
141,1.549,3015958.25
142,1.559,3086105.25
143,1.570,3154376
144,1.581,3254528.25
145,1.592,3368363.75
146,1.603,3442236.75
147,1.614,3495368.25
148,1.625,3538619.25
149,1.636,3560992
150,1.647,3576107.25
151,1.658,3588578.25
152,1.669,3573773.25
153,1.680,3567190.25
154,1.691,3541407.25
155,1.702,3510820.5
156,1.713,3470534.25
157,1.724,3439584.25
158,1.735,3401634.5
159,1.746,3373989.75
160,1.757,3360476.75
161,1.767,3349009.75
162,1.778,3334667
163,1.789,3317607.25
164,1.800,3294893
165,1.811,3261455
166,1.822,3234420
167,1.833,3195382
168,1.844,3139656.5
169,1.855,3057578.75
170,1.866,2962979
171,1.877,2881808
172,1.888,2831180
173,1.899,2820917.75
174,1.910,2847141.25
175,1.921,2883817.5
176,1.932,2916453.75
177,1.943,2965475
178,1.954,3030477
179,1.964,3101647
180,1.975,3197550
181,1.986,3306568
182,1.997,3417632.5
183,2.008,3522420.75
184,2.019,3662208.5
185,2.030,3792924
186,2.041,3958153
187,2.052,4158810
188,2.063,4415434
189,2.074,4717045.5
190,2.085,5066703
191,2.096,5437359.5
192,2.107,5813806
193,2.118,6199827.5
194,2.129,6579134.5
195,2.140,6951541.5
196,2.151,7247178
197,2.162,7483679
198,2.172,7608212.5
199,2.183,7710332.5
200,2.194,7779624
201,2.205,7922939.5
202,2.216,8043278.5
203,2.227,8264557.5
204,2.238,8431280
205,2.249,8634634
206,2.260,8771937
207,2.271,8922495
208,2.282,8978714
209,2.293,9021626
210,2.304,9019238
211,2.315,9002751
212,2.326,8958087
213,2.337,8887046
214,2.348,8793491
215,2.359,8677416
216,2.369,8579935
217,2.380,8459618
218,2.391,8346677
219,2.402,8131842.5
220,2.413,7811076.5
221,2.424,7322865
222,2.435,6788457
223,2.446,6276308.5
224,2.457,5866904
225,2.468,5595491.5
226,2.479,5417749.5
227,2.490,5250485.5
228,2.501,5051797
229,2.512,4848818.5
230,2.523,4604833
231,2.534,4398020.5
232,2.545,4206093
233,2.556,4021380
234,2.567,3873074.5
235,2.577,3744339.75
236,2.588,3637371.25
237,2.599,3531332.75
238,2.610,3446986.5
239,2.621,3352426.25
240,2.632,3252340.5
241,2.643,3148760
242,2.654,3042210.5
243,2.665,2940322.5
244,2.676,2835165.25
245,2.687,2748894
246,2.698,2665980.75
247,2.709,2606907
248,2.720,2555209.25
249,2.731,2525527.25
250,2.742,2478710.5
251,2.753,2452533
252,2.764,2416308.25
253,2.774,2389459.75
254,2.785,2360966
255,2.796,2353896.25
256,2.807,2308889.5
257,2.818,2276848.5
258,2.829,2234238.25
259,2.840,2215242
260,2.851,2205710.25
261,2.862,2218771.25
262,2.873,2239462.75
263,2.884,2264052.75
264,2.895,2279605.25
265,2.906,2283199
266,2.917,2301388.25
267,2.928,2304704.25
268,2.939,2316969
269,2.950,2334942
270,2.961,2357135.5
271,2.971,2356725.25
272,2.982,2366399.75
273,2.993,2369851.25
274,3.004,2374035.25
275,3.015,2377770
276,3.026,2395673.25
277,3.037,2412147.75
278,3.048,2435780
279,3.059,2484140
280,3.070,2559374.75
281,3.081,2749022.5
282,3.092,3038149.25
283,3.103,3120153.5
284,3.114,3053404
285,3.125,2920507
286,3.136,2739088.5
287,3.147,2614540.25
288,3.158,2799003
289,3.169,3098703
290,3.179,3408127.5
291,3.190,3652949.5
292,3.201,3837346.25
293,3.212,3945046.25
294,3.223,3980585.5
295,3.234,3950926.25
296,3.245,3882932.75
297,3.256,3781649.75
298,3.267,3653816.25
299,3.278,3517651.75
300,3.289,3376153.75
301,3.300,3264335.5
302,3.311,3186647.25
303,3.322,3146600.25
304,3.333,3140346.5
305,3.344,3147009.5
306,3.355,3140670.5
307,3.366,3128840.25
308,3.376,3117886.5
309,3.387,3105367
310,3.398,3094328.5
311,3.409,3108525
312,3.420,3140227.5
313,3.431,3159308.5
314,3.442,3160467.75
315,3.453,3155400.75
316,3.464,3139293.75
317,3.475,3107936.5
318,3.486,3102970.75
319,3.497,3099424.5
320,3.508,3093929.75
321,3.519,3081543.25
322,3.530,3041307.5
323,3.541,2953562.5
324,3.552,2841195.75
325,3.563,2740138.75
326,3.574,2666370.5
327,3.584,2672035.75
328,3.595,2750375
329,3.606,2864622.5
330,3.617,2984381.75
331,3.628,3095373
332,3.639,3183822.75
333,3.650,3235063
334,3.661,3266662
335,3.672,3267765.75
336,3.683,3262908
337,3.694,3294561.25
