#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B05-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1189309.875
1,0.016,1224129
2,0.027,1229868
3,0.038,1452647.125
4,0.049,1938660.625
5,0.060,2417617.5
6,0.071,2702205.25
7,0.082,2719602
8,0.093,2371533.5
9,0.104,1808816.75
10,0.115,1363176.25
11,0.126,1144583.5
12,0.137,1108888.375
13,0.147,1141796
14,0.158,1181029
15,0.169,1208406.875
16,0.180,1215902.5
17,0.191,1203140.625
18,0.202,1190940.625
19,0.213,1181431.25
20,0.224,1179181.5
21,0.235,1185906.5
22,0.246,1204777.5
23,0.257,1229544.625
24,0.268,1251099.125
25,0.279,1272963.875
26,0.290,1292342.5
27,0.301,1303898.5
28,0.312,1311346.625
29,0.323,1321134.875
30,0.334,1285664.125
31,0.345,1149402.5
32,0.355,919782.875
33,0.366,644399
34,0.377,371291.15625
35,0.388,165536.953125
36,0.399,76328.984375
37,0.410,79750.7265625
38,0.421,134973.265625
39,0.432,231097.140625
40,0.443,356225.65625
41,0.454,496607.34375
42,0.465,628714.75
43,0.476,742593.5
44,0.487,826237
45,0.498,888532.375
46,0.509,929456.0625
47,0.520,957048.25
48,0.531,974601
49,0.542,994500.25
50,0.552,1007569.75
51,0.563,1035348.9375
52,0.574,1069211.875
53,0.585,1100356.75
54,0.596,1134074.75
55,0.607,1164950.625
56,0.618,1180894.75
57,0.629,1199979.25
58,0.640,1218015.125
59,0.651,1233985
60,0.662,1257014.875
61,0.673,1275711.875
62,0.684,1286167.5
63,0.695,1295981.75
64,0.706,1299999.5
65,0.717,1302379.25
66,0.728,1308442.875
67,0.739,1315275
68,0.750,1323192.125
69,0.760,1331936.75
70,0.771,1337751.25
71,0.782,1336049.375
72,0.793,1331330.875
73,0.804,1323048.125
74,0.815,1311951.25
75,0.826,1293337.25
76,0.837,1274703.25
77,0.848,1252299.625
78,0.859,1238919.25
79,0.870,1232607
80,0.881,1245607.125
81,0.892,1256360.25
82,0.903,1277383.75
83,0.914,1310750
84,0.925,1369335
85,0.936,1443731.625
86,0.947,1525287.75
87,0.957,1592260
88,0.968,1622920.875
89,0.979,1616074.375
90,0.990,1587212
91,1.001,1541008.625
92,1.012,1500972.625
93,1.023,1474876.875
94,1.034,1463652.75
95,1.045,1460745.125
96,1.056,1469794.375
97,1.067,1479200.875
98,1.078,1491165.375
99,1.089,1504012.25
100,1.100,1514007.75
101,1.111,1520608.875
102,1.122,1514551.125
103,1.133,1501987.25
104,1.144,1480472.875
105,1.155,1453363
106,1.165,1429169.5
107,1.176,1415602.875
108,1.187,1413304.75
109,1.198,1414215.625
110,1.209,1432574.5
111,1.220,1451446.375
112,1.231,1464878.875
113,1.242,1473601.25
114,1.253,1481121.75
115,1.264,1476770.125
116,1.275,1471748
117,1.286,1474209.75
118,1.297,1468981.875
119,1.308,1471296.25
120,1.319,1469740
121,1.330,1470330.5
122,1.341,1469856.125
123,1.352,1475333.375
124,1.362,1490860.125
125,1.373,1513792.375
126,1.384,1544938.375
127,1.395,1574949.25
128,1.406,1623277.375
129,1.417,1655953.125
130,1.428,1698371.5
131,1.439,1761092.25
132,1.450,1865983.125
133,1.461,1990381.125
134,1.472,2120550
135,1.483,2252172
136,1.494,2359540.75
137,1.505,2421828.25
138,1.516,2477053.25
139,1.527,2563848.5
140,1.538,2716687.75
141,1.549,2977161.5
142,1.559,3409440.25
143,1.570,3903083.5
144,1.581,4356780
145,1.592,4647164
146,1.603,4726855.5
147,1.614,4588467
148,1.625,4343241.5
149,1.636,4100465.5
150,1.647,3907653.5
151,1.658,3790780
152,1.669,3710819.75
153,1.680,3668808.25
154,1.691,3651256.25
155,1.702,3645805
156,1.713,3639832
157,1.724,3632905.75
158,1.735,3624345.5
159,1.746,3592120
160,1.757,3581157.25
161,1.767,3523875.5
162,1.778,3439427.75
163,1.789,3305976.75
164,1.800,3173345.5
165,1.811,3037680.25
166,1.822,2974220.25
167,1.833,2957270.25
168,1.844,2986185.25
169,1.855,3021177.25
170,1.866,3050155.75
171,1.877,3062691.75
172,1.888,3069128.75
173,1.899,3072311
174,1.910,3054590.5
175,1.921,3043830.5
176,1.932,3036276.75
177,1.943,3027420.75
178,1.954,3020523.75
179,1.964,3048716
180,1.975,3082210.5
181,1.986,3174217.5
182,1.997,3300307.5
183,2.008,3471265
184,2.019,3653162.5
185,2.030,3878691.75
186,2.041,4089777.5
187,2.052,4315247
188,2.063,4554343
189,2.074,4819227
190,2.085,5070127.5
191,2.096,5313655.5
192,2.107,5559255
193,2.118,5758666
194,2.129,5983812.5
195,2.140,6228464.5
196,2.151,6475886
197,2.162,6698990.5
198,2.172,6897985
199,2.183,7059042.5
200,2.194,7235813
201,2.205,7486748.5
202,2.216,7795822.5
203,2.227,8121940
204,2.238,8430494
205,2.249,8648894
206,2.260,8743344
207,2.271,8775512
208,2.282,8780790
209,2.293,8759064
210,2.304,8728888
211,2.315,8734750
212,2.326,8716190
213,2.337,8666189
214,2.348,8610041
