#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B02-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1192127.375
1,0.016,1188784.5
2,0.027,1214489.875
3,0.038,1437344.375
4,0.049,1946677.625
5,0.060,2469836.75
6,0.071,2779550.5
7,0.082,2801879.5
8,0.093,2457766.5
9,0.104,1871225.125
10,0.115,1399037.75
11,0.126,1177103.875
12,0.137,1132799.5
13,0.147,1157592.5
14,0.158,1181737.5
15,0.169,1191941.5
16,0.180,1192131.5
17,0.191,1185992.25
18,0.202,1177976.875
19,0.213,1188448.75
20,0.224,1201901.375
21,0.235,1217900.125
22,0.246,1232149.875
23,0.257,1251997.5
24,0.268,1263363.125
25,0.279,1275172.625
26,0.290,1284769.875
27,0.301,1299272.75
28,0.312,1300509.25
29,0.323,1302545.375
30,0.334,1266389.5
31,0.345,1139193.75
32,0.355,920050
33,0.366,659634.375
34,0.377,398094.625
35,0.388,196415.09375
36,0.399,106146.8046875
37,0.410,116119.109375
38,0.421,188057.65625
39,0.432,303731.75
40,0.443,448086.65625
41,0.454,595672.375
42,0.465,727654.375
43,0.476,822912.875
44,0.487,887949.1875
45,0.498,924892.3125
46,0.509,955659.5
47,0.520,979050.125
48,0.531,1011719.9375
49,0.542,1033358.5625
50,0.552,1060838.125
51,0.563,1084786.375
52,0.574,1107956.625
53,0.585,1123349.625
54,0.596,1143725
55,0.607,1158287.625
56,0.618,1168360.625
57,0.629,1177996.75
58,0.640,1184087.5
59,0.651,1189094.125
60,0.662,1196562
61,0.673,1209180.25
62,0.684,1220142.75
63,0.695,1232923
64,0.706,1238215.5
65,0.717,1247112.875
66,0.728,1257609.75
67,0.739,1270181.875
68,0.750,1277146
69,0.760,1286696.375
70,0.771,1287220.625
71,0.782,1284188.125
72,0.793,1276893.25
73,0.804,1261356.625
74,0.815,1240797.625
75,0.826,1220886.375
76,0.837,1211367.625
77,0.848,1213981.625
78,0.859,1229981.375
79,0.870,1245825.25
80,0.881,1263465.75
81,0.892,1268487.75
82,0.903,1281916.375
83,0.914,1305529.75
84,0.925,1352528.25
85,0.936,1401921.5
86,0.947,1458945.125
87,0.957,1495568.25
88,0.968,1512895.125
89,0.979,1505453.375
90,0.990,1490254.125
91,1.001,1471743.5
92,1.012,1462046.125
93,1.023,1454550.5
94,1.034,1454120.25
95,1.045,1460131.625
96,1.056,1469618.375
97,1.067,1475415.125
98,1.078,1487314.375
99,1.089,1493900.875
100,1.100,1494795.125
101,1.111,1482855.75
102,1.122,1460278.5
103,1.133,1433079
104,1.144,1417390.375
105,1.155,1412676.625
106,1.165,1418328
107,1.176,1429826.5
108,1.187,1445372.75
109,1.198,1446286.625
110,1.209,1449948.75
111,1.220,1453102.125
112,1.231,1461752
113,1.242,1461810.125
114,1.253,1464068.875
115,1.264,1457006.5
116,1.275,1449739.125
117,1.286,1445778.875
118,1.297,1442664
119,1.308,1455971.5
120,1.319,1461409.375
121,1.330,1473857.375
122,1.341,1480839.25
123,1.352,1496682.625
124,1.362,1504867.125
125,1.373,1532564
126,1.384,1558379.25
127,1.395,1588121.25
128,1.406,1617297.25
129,1.417,1645894.875
130,1.428,1662454
131,1.439,1690719.5
132,1.450,1755414
133,1.461,1861032.75
134,1.472,1996737.25
135,1.483,2166172.75
136,1.494,2322612.25
137,1.505,2450476.25
138,1.516,2545595.5
139,1.527,2644617.25
140,1.538,2765305.25
141,1.549,2948930.25
142,1.559,3237946.25
143,1.570,3571683.25
144,1.581,3847299.5
145,1.592,4000667.75
146,1.603,4026246
