#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_6_30_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1212915
1,0.016,1176830.25
2,0.027,1219639.875
3,0.038,1413319.125
4,0.049,1890504.75
5,0.060,2412171.75
6,0.071,2740254.5
7,0.082,2788763.5
8,0.093,2486161
9,0.104,1924857.125
10,0.115,1444453.25
11,0.126,1202810.875
12,0.137,1150811.125
13,0.147,1176442.75
14,0.158,1220122.875
15,0.169,1256406.5
16,0.180,1278589.75
17,0.191,1291122.75
18,0.202,1287187
19,0.213,1284749.25
20,0.224,1286933.5
21,0.235,1295761.875
22,0.246,1306935.625
23,0.257,1323926.875
24,0.268,1335955.5
25,0.279,1347749.75
26,0.290,1351963.875
27,0.301,1353138.625
28,0.312,1342635.125
29,0.323,1325347.875
30,0.334,1279225.125
31,0.345,1155012.375
32,0.355,934277.75
33,0.366,672056.75
34,0.377,406850.375
35,0.388,189525.5
36,0.399,79558.484375
37,0.410,78820.4453125
38,0.421,137873.4375
39,0.432,241212.78125
40,0.443,377396.75
41,0.454,529228.625
42,0.465,671991.625
43,0.476,792984.75
44,0.487,884535.75
45,0.498,953095.75
46,0.509,1007820.25
47,0.520,1052385.125
48,0.531,1089498.125
49,0.542,1118866
50,0.552,1139339.75
51,0.563,1154818.625
52,0.574,1168237.875
53,0.585,1172042.125
54,0.596,1180102.25
55,0.607,1187119.625
56,0.618,1187267.125
57,0.629,1185626.625
58,0.640,1182640.5
59,0.651,1178113.375
60,0.662,1180847
61,0.673,1198368.625
62,0.684,1221352.375
63,0.695,1246608.875
64,0.706,1264070.375
65,0.717,1274634.5
66,0.728,1273038.75
67,0.739,1267570.25
68,0.750,1268674.625
69,0.760,1271543.75
70,0.771,1274394.875
71,0.782,1278210.75
72,0.793,1277855
73,0.804,1272896.625
74,0.815,1270449.375
75,0.826,1269387.625
76,0.837,1271452.375
77,0.848,1275352.875
78,0.859,1279937
79,0.870,1285708.25
80,0.881,1292739.375
81,0.892,1300644.125
82,0.903,1304384.875
83,0.914,1320779.75
84,0.925,1352643
85,0.936,1406124.75
86,0.947,1461952.75
87,0.957,1509608.25
88,0.968,1532498.875
89,0.979,1535696.875
90,0.990,1523088.75
91,1.001,1510837.25
92,1.012,1506223
93,1.023,1502605.25
94,1.034,1499727.125
95,1.045,1507862.625
96,1.056,1516252.875
97,1.067,1526471.25
98,1.078,1531935.125
99,1.089,1543385.875
100,1.100,1542790.25
101,1.111,1546763
102,1.122,1541677.75
103,1.133,1533566
104,1.144,1523893.875
105,1.155,1518941.75
106,1.165,1515332
107,1.176,1526797.5
108,1.187,1535396.375
109,1.198,1540918.25
110,1.209,1549121.125
111,1.220,1555222.375
112,1.231,1551560.625
113,1.242,1548116.25
114,1.253,1534192.375
115,1.264,1506377.5
116,1.275,1480301.5
117,1.286,1456829.875
118,1.297,1443541.25
119,1.308,1437116.125
120,1.319,1451908.375
121,1.330,1472117.125
122,1.341,1491784.375
123,1.352,1506726
124,1.362,1528116
125,1.373,1550183.25
126,1.384,1575963.125
127,1.395,1608017.125
128,1.406,1642052.375
129,1.417,1679318
130,1.428,1712362.5
131,1.439,1786290
132,1.450,1921760.625
133,1.461,2110749.5
134,1.472,2326881.75
135,1.483,2554479.75
136,1.494,2743214.25
137,1.505,2903397.25
138,1.516,3031154.25
139,1.527,3152324.75
140,1.538,3276800.5
141,1.549,3413900
142,1.559,3553103.5
143,1.570,3678781
144,1.581,3735515.25
145,1.592,3728240.5
146,1.603,3675063
147,1.614,3601769.75
148,1.625,3572410.25
149,1.636,3586177.75
150,1.647,3640816.25
151,1.658,3684986.5
152,1.669,3689025.5
153,1.680,3678917
154,1.691,3665434.25
155,1.702,3633786.25
156,1.713,3610782.75
157,1.724,3597227.5
158,1.735,3545191.25
159,1.746,3491821.75
160,1.757,3431233.75
161,1.767,3371367.5
162,1.778,3370921.25
163,1.789,3353270.75
164,1.800,3333947.75
165,1.811,3307957.25
166,1.822,3276347.75
167,1.833,3209311.25
168,1.844,3185147.5
169,1.855,3144352.5
170,1.866,3108162.75
171,1.877,3072674.25
172,1.888,3014199.5
173,1.899,2945493.25
174,1.910,2873561.5
175,1.921,2804474.75
176,1.932,2760202.5
177,1.943,2772166.25
178,1.954,2812166.5
179,1.964,2891880.75
180,1.975,2992904.5
181,1.986,3098225.25
182,1.997,3227378.25
183,2.008,3383718.25
184,2.019,3557313.5
185,2.030,3752165.5
186,2.041,3970863
187,2.052,4181251.5
188,2.063,4415063
189,2.074,4659190.5
190,2.085,4909221
191,2.096,5208880
192,2.107,5541491
193,2.118,5876908
194,2.129,6259296
195,2.140,6648713.5
196,2.151,6971454
197,2.162,7319733
198,2.172,7620967
199,2.183,7850935.5
200,2.194,8071530
201,2.205,8282765.5
202,2.216,8370371
203,2.227,8449089
204,2.238,8476481
205,2.249,8488172
206,2.260,8531469
207,2.271,8629374
208,2.282,8717137
209,2.293,8792696
210,2.304,8834204
211,2.315,8825464
212,2.326,8789791
213,2.337,8713928
214,2.348,8659609
215,2.359,8570223
216,2.369,8455921
217,2.380,8299685.5
218,2.391,8114715.5
219,2.402,7768128.5
220,2.413,7250437.5
221,2.424,6596336.5
222,2.435,5933722
223,2.446,5350074.5
224,2.457,4969121
225,2.468,4815922.5
226,2.479,4807907.5
227,2.490,4821842
228,2.501,4796774.5
229,2.512,4703628
230,2.523,4536959.5
231,2.534,4339334
232,2.545,4119908.5
233,2.556,3902247
234,2.567,3699516.5
235,2.577,3520729
236,2.588,3360746.25
237,2.599,3225747.5
238,2.610,3104545.5
239,2.621,3015933.25
240,2.632,2935469
241,2.643,2854383.5
242,2.654,2766463.5
243,2.665,2693429.75
244,2.676,2621201.25
245,2.687,2554335.75
246,2.698,2496393
247,2.709,2447112.75
248,2.720,2409361
249,2.731,2361016.5
250,2.742,2342970.5
251,2.753,2319899.75
252,2.764,2309210
253,2.774,2298370.75
254,2.785,2298605
255,2.796,2284508.25
256,2.807,2284341
257,2.818,2292915
258,2.829,2292336.75
259,2.840,2285683.75
260,2.851,2274702.25
261,2.862,2258387.25
262,2.873,2238244
263,2.884,2224236.75
264,2.895,2236658
265,2.906,2250511.5
266,2.917,2258006.25
267,2.928,2264541
268,2.939,2291149
269,2.950,2288978
270,2.961,2298884.25
271,2.971,2302982.75
272,2.982,2309498.75
273,2.993,2308535.5
274,3.004,2316557
275,3.015,2310504.75
276,3.026,2313586.75
277,3.037,2312257.75
278,3.048,2323857
279,3.059,2350407
280,3.070,2401339
281,3.081,2565058
282,3.092,2915345.5
283,3.103,3213565.75
284,3.114,3479052.75
285,3.125,3713617.5
286,3.136,3834250.75
287,3.147,3838687.75
288,3.158,3926246
289,3.169,3984160.25
290,3.179,3981003.75
291,3.190,3912398.75
292,3.201,3799737
293,3.212,3689702
294,3.223,3594413
295,3.234,3502681
296,3.245,3424170.5
297,3.256,3344150
298,3.267,3241600.75
299,3.278,3142686
300,3.289,3056480
301,3.300,2998208
302,3.311,2968360
303,3.322,2983042.25
304,3.333,3009282.5
305,3.344,3036438
306,3.355,3063797.25
307,3.366,3082976.75
308,3.376,3098093.25
309,3.387,3122436.5
310,3.398,3144380.5
311,3.409,3161138.75
312,3.420,3195775.25
313,3.431,3211429.25
314,3.442,3224512.75
315,3.453,3226401.25
316,3.464,3236272.75
317,3.475,3209496.5
318,3.486,3180483.5
319,3.497,3134649.25
320,3.508,3089110.5
321,3.519,3019830
322,3.530,2909609.5
323,3.541,2777181
324,3.552,2630201.25
325,3.563,2501679
326,3.574,2436107.75
327,3.584,2486766.5
328,3.595,2616352.25
329,3.606,2780941.75
330,3.617,2945555.5
331,3.628,3081409.5
332,3.639,3169957.75
333,3.650,3208614.75
334,3.661,3245319.5
335,3.672,3232779
336,3.683,3305824.75
337,3.694,3252074.75
