#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B10-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1207445.5
1,0.016,1217643.25
2,0.027,1221229.625
3,0.038,1431635.625
4,0.049,1889638.75
5,0.060,2352098
6,0.071,2631101.25
7,0.082,2645435.25
8,0.093,2314416.25
9,0.104,1775182.25
10,0.115,1343681.375
11,0.126,1133651.875
12,0.137,1095286.5
13,0.147,1121817.25
14,0.158,1160777.125
15,0.169,1183897.5
16,0.180,1190633.25
17,0.191,1180190.625
18,0.202,1174126.75
19,0.213,1168020.125
20,0.224,1173981.5
21,0.235,1187894.625
22,0.246,1215565.5
23,0.257,1234988.25
24,0.268,1266579.125
25,0.279,1288178.125
26,0.290,1298517.625
27,0.301,1302914.625
28,0.312,1308500.875
29,0.323,1300414.625
30,0.334,1260724
31,0.345,1131812.875
32,0.355,907196.3125
33,0.366,639889.3125
34,0.377,375717.28125
35,0.388,174251.75
36,0.399,85601.125
37,0.410,89719.90625
38,0.421,148972.609375
39,0.432,247008.28125
40,0.443,372558.59375
41,0.454,511851.78125
42,0.465,648703.9375
43,0.476,765200
44,0.487,853446.5625
45,0.498,913902.125
46,0.509,951839.25
47,0.520,975569.9375
48,0.531,994629
49,0.542,1016252.6875
50,0.552,1043487.9375
51,0.563,1070602.375
52,0.574,1098034.75
53,0.585,1121597.625
54,0.596,1137718.5
55,0.607,1154801.375
56,0.618,1167739.25
57,0.629,1176230
58,0.640,1188694.375
59,0.651,1195526.75
60,0.662,1198952.25
61,0.673,1211784.75
62,0.684,1225084
63,0.695,1234583.875
64,0.706,1249081.25
65,0.717,1255172.625
66,0.728,1256783.625
67,0.739,1257783.75
68,0.750,1257266.5
69,0.760,1256533.75
70,0.771,1263603.75
71,0.782,1265407.75
72,0.793,1264084.75
73,0.804,1259327.5
74,0.815,1244501.75
75,0.826,1222666.25
76,0.837,1205728.125
77,0.848,1198397.5
78,0.859,1194803.625
79,0.870,1201818
80,0.881,1210687.625
81,0.892,1222437
82,0.903,1247574
83,0.914,1301714.75
84,0.925,1377173
85,0.936,1464065.375
86,0.947,1543288.375
87,0.957,1595671.75
88,0.968,1611327.125
89,0.979,1584930.625
90,0.990,1550204.25
91,1.001,1511600.25
92,1.012,1479020.875
93,1.023,1450637.375
94,1.034,1444893.375
95,1.045,1433992.375
96,1.056,1434508.25
97,1.067,1436653
98,1.078,1451278.125
99,1.089,1462344.25
100,1.100,1473248.75
101,1.111,1481106.5
102,1.122,1487696.125
103,1.133,1478152.125
104,1.144,1459476.125
105,1.155,1435864.25
106,1.165,1413485.25
107,1.176,1397650.375
108,1.187,1404205.875
109,1.198,1417520
110,1.209,1437036.875
111,1.220,1456412.375
112,1.231,1466904
113,1.242,1468896.125
114,1.253,1471389.5
115,1.264,1468922.625
116,1.275,1460006.125
117,1.286,1452632.75
118,1.297,1442021
119,1.308,1433122.875
120,1.319,1423569.5
121,1.330,1421903.75
122,1.341,1426837.75
123,1.352,1435288.625
124,1.362,1450663.125
125,1.373,1480319.625
126,1.384,1513493.5
127,1.395,1547254.5
128,1.406,1585437.75
129,1.417,1613628.875
130,1.428,1638865.125
131,1.439,1686177.375
132,1.450,1775549.875
133,1.461,1895080.125
134,1.472,2054149.125
135,1.483,2208218
136,1.494,2305703.75
137,1.505,2287496.5
138,1.516,2224708.5
139,1.527,2138765.25
140,1.538,2123273.25
141,1.549,2275852
142,1.559,2676677.25
143,1.570,3214938.5
144,1.581,3787709
145,1.592,4235054
146,1.603,4474225.5
147,1.614,4448669.5
148,1.625,4270606.5
149,1.636,4046328
150,1.647,3863499.5
151,1.658,3746385
152,1.669,3713185.5
153,1.680,3710580.5
154,1.691,3719563.75
155,1.702,3719352
156,1.713,3715581
157,1.724,3681142.25
158,1.735,3636315.5
159,1.746,3581750.25
160,1.757,3540869.75
161,1.767,3451040.25
162,1.778,3358526
163,1.789,3236455.5
164,1.800,3124975
165,1.811,3017517.25
166,1.822,2958745.75
167,1.833,2931850.25
168,1.844,2944990
169,1.855,2953064.75
170,1.866,2957098.5
171,1.877,2966737.75
172,1.888,2958266.5
173,1.899,2956656.75
174,1.910,2957525.25
175,1.921,2957863.25
176,1.932,2972323
177,1.943,2994085.25
178,1.954,3012435.5
179,1.964,3044923
180,1.975,3096472.5
181,1.986,3166195.5
182,1.997,3271360.75
183,2.008,3407060.75
184,2.019,3589527.25
185,2.030,3787681
186,2.041,3987442.75
187,2.052,4209759
188,2.063,4436515.5
189,2.074,4653861
190,2.085,4863240.5
191,2.096,5048271.5
192,2.107,5235524.5
193,2.118,5431361
194,2.129,5692107.5
195,2.140,6019772.5
196,2.151,6421125
197,2.162,6825035.5
198,2.172,7189873
199,2.183,7491732.5
200,2.194,7770289
201,2.205,8013034
202,2.216,8224469
203,2.227,8468107
204,2.238,8650374
205,2.249,8766869
206,2.260,8823935
207,2.271,8874023
208,2.282,8881878
209,2.293,8915423
210,2.304,8956652
211,2.315,8993007
212,2.326,8998738
213,2.337,8956422
214,2.348,8885933
215,2.359,8787646
216,2.369,8661261
217,2.380,8513786
218,2.391,8363986.5
219,2.402,8141107
220,2.413,7756328
221,2.424,7253718.5
222,2.435,6673502.5
223,2.446,6112737.5
224,2.457,5680698.5
225,2.468,5463653.5
226,2.479,5386329.5
227,2.490,5363826.5
228,2.501,5331706
229,2.512,5218336
230,2.523,5084618.5
231,2.534,4908053.5
232,2.545,4720104.5
233,2.556,4518133.5
234,2.567,4319605
235,2.577,4115642.25
236,2.588,3933573.75
237,2.599,3775042.75
238,2.610,3636169
239,2.621,3547846.75
240,2.632,3466155.5
241,2.643,3419162.25
242,2.654,3374377.25
243,2.665,3321932.75
244,2.676,3261445.75
245,2.687,3182863.25
246,2.698,3086335.5
247,2.709,2988345.75
248,2.720,2892521.25
249,2.731,2776921.5
250,2.742,2682660
251,2.753,2595734.75
252,2.764,2535402.75
253,2.774,2492667.25
254,2.785,2496345.25
255,2.796,2504207.5
256,2.807,2526965.25
257,2.818,2549718.5
258,2.829,2574433.75
259,2.840,2578860.75
260,2.851,2600290
261,2.862,2632423
262,2.873,2650773.25
263,2.884,2664324.75
264,2.895,2667213.5
265,2.906,2667718
266,2.917,2663525.25
267,2.928,2686711.75
268,2.939,2713842.5
269,2.950,2757812.75
270,2.961,2798937.25
271,2.971,2827151.25
272,2.982,2839301.75
273,2.993,2856863.5
274,3.004,2879767.5
275,3.015,2924562.25
276,3.026,2979403.75
277,3.037,3056447.5
278,3.048,3135069.75
279,3.059,3260189.25
280,3.070,3419547.75
281,3.081,3500945.25
282,3.092,3313375
283,3.103,2948079.25
284,3.114,2476035.5
285,3.125,2019711.875
286,3.136,1766260.125
287,3.147,1816657.875
288,3.158,2026813.625
289,3.169,2300723.75
290,3.179,2599592.75
291,3.190,2877314.75
292,3.201,3140738.75
293,3.212,3354832.25
294,3.223,3519240.5
295,3.234,3622656.25
296,3.245,3695300
297,3.256,3705010.75
298,3.267,3692795.25
299,3.278,3646662.25
300,3.289,3595067.75
301,3.300,3514348.75
302,3.311,3447951
303,3.322,3371154.75
304,3.333,3301580
305,3.344,3218990.75
306,3.355,3141257.25
307,3.366,3051116
308,3.376,2980192.25
309,3.387,2914789.25
310,3.398,2874173
311,3.409,2854332.25
312,3.420,2858945.75
313,3.431,2872061.25
314,3.442,2885873.5
315,3.453,2902091
316,3.464,2912009.25
317,3.475,2905270.5
318,3.486,2897174
319,3.497,2895853.75
320,3.508,2896519.25
321,3.519,2894526
322,3.530,2883546.5
323,3.541,2845871.5
324,3.552,2797996.25
325,3.563,2763881.25
326,3.574,2740008.75
327,3.584,2745939.5
328,3.595,2782994
329,3.606,2817816.5
330,3.617,2834936.25
331,3.628,2871617.75
332,3.639,2890972
333,3.650,2900056.5
334,3.661,2918516
335,3.672,2904620.25
336,3.683,2949851
337,3.694,2870846
