#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B03-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1209948.25
1,0.016,1232232.375
2,0.027,1230734.875
3,0.038,1476524
4,0.049,1992740.125
5,0.060,2505322.75
6,0.071,2806536
7,0.082,2814602.75
8,0.093,2439821.25
9,0.104,1823023.125
10,0.115,1335303.375
11,0.126,1091607.375
12,0.137,1045517.6875
13,0.147,1076514.5
14,0.158,1127442.75
15,0.169,1165768.625
16,0.180,1196365.625
17,0.191,1210296.5
18,0.202,1213420.625
19,0.213,1222409.25
20,0.224,1228041
21,0.235,1234455.75
22,0.246,1240841.875
23,0.257,1245370.25
24,0.268,1240852.125
25,0.279,1241842.625
26,0.290,1245654.75
27,0.301,1255302.875
28,0.312,1269380.25
29,0.323,1281068.625
30,0.334,1262310.125
31,0.345,1148255.875
32,0.355,938292.125
33,0.366,677781.4375
34,0.377,415174.5
35,0.388,203334.65625
36,0.399,104205.0859375
37,0.410,105619.5859375
38,0.421,166024.09375
39,0.432,267119.03125
40,0.443,397507.28125
41,0.454,537613.3125
42,0.465,673435.25
43,0.476,788176.375
44,0.487,878660.375
45,0.498,944190
46,0.509,1001474.8125
47,0.520,1043264.6875
48,0.531,1075094.5
49,0.542,1105366
50,0.552,1134575.125
51,0.563,1144927.625
52,0.574,1157039.125
53,0.585,1161722
54,0.596,1159915.625
55,0.607,1163746.125
56,0.618,1175319
57,0.629,1183439.75
58,0.640,1202372.625
59,0.651,1221216.875
60,0.662,1237715.5
61,0.673,1258158.75
62,0.684,1282914.25
63,0.695,1299368.75
64,0.706,1309730.875
65,0.717,1304564.375
66,0.728,1295314.625
67,0.739,1279998.25
68,0.750,1264694.25
69,0.760,1253755
70,0.771,1259005.25
71,0.782,1263607.875
72,0.793,1270214.375
73,0.804,1278997
74,0.815,1284265.375
75,0.826,1281036.875
76,0.837,1279420.75
77,0.848,1278883
78,0.859,1279773.125
79,0.870,1279143
80,0.881,1284860.625
81,0.892,1288913.75
82,0.903,1291654
83,0.914,1315741.5
84,0.925,1362274.5
85,0.936,1420937.375
86,0.947,1484479.125
87,0.957,1537744.25
88,0.968,1558066.375
89,0.979,1557221.75
90,0.990,1539744.125
91,1.001,1521795.625
92,1.012,1506801.375
93,1.023,1501350.875
94,1.034,1485725.375
95,1.045,1467439.125
96,1.056,1444021.875
97,1.067,1425706.125
98,1.078,1414800.25
99,1.089,1423866.5
100,1.100,1439638.875
101,1.111,1455583.125
102,1.122,1467055.625
103,1.133,1476690.375
104,1.144,1481460.375
105,1.155,1491066
106,1.165,1500523.625
107,1.176,1506085.25
108,1.187,1500483.75
109,1.198,1494014
110,1.209,1477298.625
111,1.220,1467287.75
112,1.231,1460236.125
113,1.242,1460577.375
114,1.253,1467443.75
115,1.264,1477859
116,1.275,1487622.125
117,1.286,1494420.375
118,1.297,1499087.5
119,1.308,1505000.25
120,1.319,1510806.5
121,1.330,1517532.75
122,1.341,1524735.75
123,1.352,1520108.25
124,1.362,1496780.75
125,1.373,1473021.25
126,1.384,1451582.625
127,1.395,1437380.125
128,1.406,1466881.875
129,1.417,1504694.875
130,1.428,1552123.5
131,1.439,1610882.375
132,1.450,1722247.75
133,1.461,1854974.375
134,1.472,2025123.875
135,1.483,2204773
136,1.494,2381492
137,1.505,2491755.75
138,1.516,2573690.75
139,1.527,2646846.5
140,1.538,2737566.5
141,1.549,2910161.5
142,1.559,3212776
143,1.570,3573599.5
144,1.581,3912543.75
145,1.592,4166773.5
146,1.603,4253547.5
147,1.614,4201765.5
148,1.625,4087862
149,1.636,3985406.75
150,1.647,3896142.75
151,1.658,3841048.25
152,1.669,3766777.5
153,1.680,3661048.25
154,1.691,3539263.25
155,1.702,3430556.75
156,1.713,3333761.5
157,1.724,3286757.75
158,1.735,3286476.75
159,1.746,3300595
160,1.757,3322248.5
161,1.767,3334136
162,1.778,3319057.75
163,1.789,3289193.75
164,1.800,3260429
165,1.811,3212997.75
166,1.822,3184415
167,1.833,3160472.5
168,1.844,3121284.75
169,1.855,3064634.5
170,1.866,3035684.75
171,1.877,3000394.5
172,1.888,2976487.5
173,1.899,2970185.25
174,1.910,2983306.75
175,1.921,2988256.75
176,1.932,3020753.75
177,1.943,3056170.75
178,1.954,3097933.25
179,1.964,3142173.25
180,1.975,3191872.75
181,1.986,3215890.5
182,1.997,3257460.5
