#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B08-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1159844.5
1,0.016,1158974
2,0.027,1178115.375
3,0.038,1406925.25
4,0.049,1883956.625
5,0.060,2385771.25
6,0.071,2691159.25
7,0.082,2724624.75
8,0.093,2389676
9,0.104,1845375.125
10,0.115,1391357.875
11,0.126,1166820.625
12,0.137,1124492.125
13,0.147,1149299.375
14,0.158,1186619.5
15,0.169,1213774.625
16,0.180,1228966.25
17,0.191,1230729
18,0.202,1233792.375
19,0.213,1238647.25
20,0.224,1244087.25
21,0.235,1257151.75
22,0.246,1271256.875
23,0.257,1289871.25
24,0.268,1301794.75
25,0.279,1308330.625
26,0.290,1306878.875
27,0.301,1299912
28,0.312,1274672.875
29,0.323,1250604.75
30,0.334,1206164.75
31,0.345,1076769.875
32,0.355,864122
33,0.366,618400.4375
34,0.377,371362
35,0.388,172881.015625
36,0.399,82134.8828125
37,0.410,85746.40625
38,0.421,146716.3125
39,0.432,247638.953125
40,0.443,377622.9375
41,0.454,519783.75
42,0.465,656195.9375
43,0.476,769967.4375
44,0.487,860734.75
45,0.498,933754.375
46,0.509,988762.3125
47,0.520,1039766.3125
48,0.531,1075319.875
49,0.542,1105983.75
50,0.552,1133455.75
51,0.563,1152590.5
52,0.574,1170402.75
53,0.585,1188643.125
54,0.596,1200120.125
55,0.607,1204753.25
56,0.618,1206862.375
57,0.629,1199257.25
58,0.640,1194938.125
59,0.651,1197142.625
60,0.662,1207203
61,0.673,1232464.625
62,0.684,1253858.625
63,0.695,1279453.5
64,0.706,1293731.625
65,0.717,1303324.375
66,0.728,1309830.75
67,0.739,1310786.25
68,0.750,1313471.5
69,0.760,1316405.5
70,0.771,1322569
71,0.782,1315530.375
72,0.793,1316958.375
73,0.804,1304909.75
74,0.815,1297749.75
75,0.826,1285943.25
76,0.837,1287859.875
77,0.848,1286986.75
78,0.859,1291900.75
79,0.870,1294650
80,0.881,1299536.5
81,0.892,1295664.375
82,0.903,1298286
83,0.914,1300110.375
84,0.925,1306296.25
85,0.936,1318499.125
86,0.947,1343534
87,0.957,1380132.75
88,0.968,1434395.25
89,0.979,1500964.125
90,0.990,1561718.25
91,1.001,1593177.25
92,1.012,1600545.125
93,1.023,1588671.25
94,1.034,1558439
95,1.045,1528381.875
96,1.056,1512414.875
97,1.067,1500890.875
98,1.078,1499316.875
99,1.089,1506405.875
100,1.100,1507400.25
101,1.111,1500159.25
