#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B05-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1227579
1,0.016,1205718.125
2,0.027,1227916.125
3,0.038,1469264.75
4,0.049,1978432.5
5,0.060,2494339.75
6,0.071,2787208
7,0.082,2794892.75
8,0.093,2426115.5
9,0.104,1829967
10,0.115,1357829.875
11,0.126,1139720.625
12,0.137,1097983.125
13,0.147,1123540.25
14,0.158,1166068.125
15,0.169,1195667.125
16,0.180,1219586.375
17,0.191,1233694
18,0.202,1240319.125
19,0.213,1236081.625
20,0.224,1224337
21,0.235,1209948.625
22,0.246,1207217.5
23,0.257,1212670.375
24,0.268,1229182.75
25,0.279,1251501.25
26,0.290,1266127.25
27,0.301,1273818.375
28,0.312,1281519.75
29,0.323,1281799.25
30,0.334,1246761
31,0.345,1114759.375
32,0.355,890800.25
33,0.366,622026.9375
34,0.377,360379.4375
35,0.388,159592.4375
36,0.399,71321.8828125
37,0.410,73603.84375
38,0.421,126216.3515625
39,0.432,216998.796875
40,0.443,338135.53125
41,0.454,474821.0625
42,0.465,609242.0625
43,0.476,724922.5625
44,0.487,819129.8125
45,0.498,889155.75
46,0.509,939765.5
47,0.520,978866.0625
48,0.531,1009702.875
49,0.542,1026793.6875
50,0.552,1041309.0625
51,0.563,1054214
52,0.574,1065972.125
53,0.585,1079543.875
54,0.596,1105110.75
55,0.607,1132941.375
56,0.618,1160030.375
57,0.629,1186722.375
58,0.640,1208969
59,0.651,1224951.25
60,0.662,1245612.375
61,0.673,1271892.375
62,0.684,1293128.625
63,0.695,1307486
64,0.706,1313607.25
65,0.717,1309612.75
66,0.728,1295842.625
67,0.739,1290633.875
68,0.750,1297534.625
69,0.760,1306875.5
70,0.771,1316090.625
71,0.782,1326036.125
72,0.793,1323740.125
73,0.804,1312394
74,0.815,1296647.5
75,0.826,1288375.125
76,0.837,1284846.375
77,0.848,1277067.125
78,0.859,1264325
79,0.870,1245198.625
80,0.881,1221364.875
81,0.892,1209045.75
82,0.903,1216260.375
83,0.914,1247764
84,0.925,1313036.625
85,0.936,1396174.5
86,0.947,1477067
87,0.957,1546501.25
88,0.968,1592986.625
89,0.979,1595159
90,0.990,1573971.5
91,1.001,1543144.375
92,1.012,1507310
93,1.023,1472794.375
94,1.034,1453499.625
95,1.045,1437980.875
96,1.056,1430120.625
97,1.067,1434344.125
98,1.078,1445574
99,1.089,1461717.25
100,1.100,1482558.875
101,1.111,1500980.75
102,1.122,1509440.625
103,1.133,1513675.5
104,1.144,1515582.125
105,1.155,1514268.625
106,1.165,1507538.5
107,1.176,1490542.875
108,1.187,1463207.5
109,1.198,1438050.5
110,1.209,1422346
111,1.220,1425018.375
112,1.231,1439273.25
113,1.242,1451910.875
114,1.253,1455664.25
115,1.264,1457768.25
116,1.275,1453271.5
117,1.286,1453433.75
118,1.297,1463066.125
119,1.308,1463737.125
120,1.319,1470734.5
121,1.330,1480295.125
122,1.341,1478471.5
123,1.352,1474024.75
124,1.362,1479459.25
125,1.373,1480426.5
126,1.384,1502763.25
127,1.395,1542371.625
128,1.406,1583894.625
129,1.417,1629072.375
130,1.428,1679367.5
131,1.439,1743183.375
132,1.450,1857386.75
133,1.461,2005954.75
134,1.472,2175767
135,1.483,2336642
136,1.494,2452139
137,1.505,2497907.5
138,1.516,2509537.75
139,1.527,2518794.25
140,1.538,2591154
141,1.549,2803430.5
142,1.559,3170968.5
143,1.570,3671992
144,1.581,4137040.5
145,1.592,4478285
146,1.603,4602446
147,1.614,4516792.5
148,1.625,4291937
149,1.636,4070570.5
150,1.647,3865518.25
151,1.658,3715736
152,1.669,3621454.75
153,1.680,3555013
154,1.691,3519537.75
155,1.702,3505205.75
156,1.713,3505174.25
157,1.724,3496512.25
158,1.735,3481958.75
159,1.746,3463733.75
160,1.757,3451307
161,1.767,3417106.25
162,1.778,3390699
163,1.789,3354927
164,1.800,3305080.75
165,1.811,3217841.25
166,1.822,3139704.25
167,1.833,3062100.75
168,1.844,2987310.5
169,1.855,2933486
170,1.866,2914048.5
171,1.877,2923587
172,1.888,2945564.25
173,1.899,2974751.25
174,1.910,3009393.5
175,1.921,3021701
176,1.932,3014027
177,1.943,3013436
178,1.954,3035595
179,1.964,3058600
180,1.975,3125760.75
181,1.986,3206508.5
182,1.997,3310863.5
183,2.008,3441993.25
184,2.019,3612043.75
185,2.030,3810716.75
186,2.041,4025218
187,2.052,4258024.5
188,2.063,4504638.5
189,2.074,4754274.5
190,2.085,5040162.5
191,2.096,5353868.5
192,2.107,5720274.5
193,2.118,6042181
194,2.129,6336344
195,2.140,6562606
196,2.151,6727100.5
197,2.162,6810352
198,2.172,6863752
199,2.183,6940266.5
200,2.194,7075431.5
201,2.205,7328135
202,2.216,7691054
203,2.227,8097995
204,2.238,8447230
205,2.249,8701672
206,2.260,8871472
207,2.271,8916117
208,2.282,8933594
209,2.293,8905918
210,2.304,8848847
211,2.315,8757999
212,2.326,8672529
213,2.337,8608886
214,2.348,8544472
215,2.359,8512299
216,2.369,8463468
217,2.380,8402168
218,2.391,8292123
219,2.402,8137856
220,2.413,7866971.5
221,2.424,7499931
222,2.435,7060393
223,2.446,6586951
224,2.457,6136577
225,2.468,5783381
226,2.479,5511416
227,2.490,5299845.5
228,2.501,5103194
229,2.512,4924627
230,2.523,4770141
231,2.534,4635845
232,2.545,4503485
233,2.556,4378538.5
234,2.567,4237177
235,2.577,4074563.25
236,2.588,3898315.5
237,2.599,3757374.25
238,2.610,3621834.5
239,2.621,3504980.75
240,2.632,3399227.5
241,2.643,3328730.5
242,2.654,3258932.5
243,2.665,3199427.75
244,2.676,3148832.75
245,2.687,3097554.75
246,2.698,3035021.25
247,2.709,2954959.25
248,2.720,2879509
249,2.731,2790052
250,2.742,2705863.5
251,2.753,2617869
252,2.764,2536978.25
253,2.774,2473158.75
254,2.785,2431348.25
255,2.796,2395433.25
256,2.807,2388949.5
257,2.818,2392062.25
258,2.829,2413219
259,2.840,2446208.25
260,2.851,2481188
261,2.862,2517023.25
262,2.873,2552676.75
263,2.884,2570220.25
264,2.895,2577118
265,2.906,2593608.25
266,2.917,2594370.25
267,2.928,2589413.25
268,2.939,2602278
269,2.950,2631342.75
270,2.961,2660486
271,2.971,2706921.75
272,2.982,2750103.5
273,2.993,2781712.75
274,3.004,2804953.5
275,3.015,2831026.75
276,3.026,2872007.5
277,3.037,2929074.25
