#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_H-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1249782.875
1,0.016,1266387.375
2,0.027,1242720.625
3,0.038,1426081.25
4,0.049,1863008.5
5,0.060,2319572.75
6,0.071,2602383.5
7,0.082,2633351.5
8,0.093,2328987
9,0.104,1803891.125
10,0.115,1375713.5
11,0.126,1167177.625
12,0.137,1129914.75
13,0.147,1158763.625
14,0.158,1196877.125
15,0.169,1225611.5
16,0.180,1241717.5
17,0.191,1241561.5
18,0.202,1239549
19,0.213,1239073
20,0.224,1240232.125
21,0.235,1257781.375
22,0.246,1278394.875
23,0.257,1302594.125
24,0.268,1318587.25
25,0.279,1328794.875
26,0.290,1333116.25
27,0.301,1341134.375
28,0.312,1346351
29,0.323,1352443.25
30,0.334,1334279
31,0.345,1259391.75
32,0.355,1099625.5
33,0.366,875317.5
34,0.377,638899.4375
35,0.388,460877.6875
36,0.399,399183.75
37,0.410,499099.0625
38,0.421,723412.75
39,0.432,1002631.25
40,0.443,1257165.875
41,0.454,1436598.125
42,0.465,1504642
43,0.476,1494140.75
44,0.487,1442569.5
45,0.498,1382623.5
46,0.509,1336878.125
47,0.520,1321731.875
48,0.531,1301017.875
49,0.542,1284071.875
50,0.552,1282919.25
51,0.563,1280310.75
52,0.574,1276996.375
53,0.585,1287592.875
54,0.596,1294785.25
55,0.607,1287919.75
56,0.618,1282654.125
57,0.629,1278197.5
58,0.640,1265094.5
59,0.651,1244724.5
60,0.662,1224900.25
61,0.673,1207830.75
62,0.684,1190940
63,0.695,1187712.125
64,0.706,1196589.5
65,0.717,1212828.375
66,0.728,1228522.75
67,0.739,1245757.625
68,0.750,1256693
69,0.760,1267837.5
70,0.771,1277451.75
71,0.782,1281160.75
72,0.793,1283856.5
73,0.804,1291353.375
74,0.815,1296957.75
75,0.826,1297159.75
76,0.837,1302259.75
77,0.848,1304663.875
78,0.859,1306895.5
79,0.870,1311506.375
80,0.881,1308573.25
81,0.892,1308510
82,0.903,1308308.5
83,0.914,1306137.25
84,0.925,1307684.625
85,0.936,1325410.125
86,0.947,1344020.125
87,0.957,1360697.375
88,0.968,1382994.375
89,0.979,1392843.75
90,0.990,1402504.875
91,1.001,1405412.625
92,1.012,1410531.5
93,1.023,1418296
94,1.034,1431492
95,1.045,1442044.75
96,1.056,1459773.75
97,1.067,1476739.125
98,1.078,1486558.375
99,1.089,1499716.75
100,1.100,1515706.375
101,1.111,1516017.75
102,1.122,1516529.25
103,1.133,1517881.375
104,1.144,1511517.875
105,1.155,1503529.75
106,1.165,1508260.25
107,1.176,1507211.5
108,1.187,1505499.125
109,1.198,1503225.125
110,1.209,1500221.125
111,1.220,1502339
112,1.231,1504474.875
113,1.242,1504659
114,1.253,1505671.75
115,1.264,1503175.25
116,1.275,1487514.5
117,1.286,1474157.125
118,1.297,1453766.375
119,1.308,1443105.375
120,1.319,1428724.75
121,1.330,1436928
122,1.341,1451719.25
123,1.352,1474877.875
124,1.362,1499654.875
125,1.373,1534479.75
126,1.384,1564941.375
127,1.395,1591866.625
128,1.406,1625372
129,1.417,1656453.125
130,1.428,1695112.125
131,1.439,1747527.125
132,1.450,1844570.75
133,1.461,1995860.5
134,1.472,2184001.25
135,1.483,2376319
136,1.494,2571894.5
137,1.505,2736156.75
138,1.516,2863408.25
139,1.527,2994379
140,1.538,3116318
141,1.549,3209447
142,1.559,3300974
143,1.570,3401079.5
144,1.581,3468877
145,1.592,3517768.25
146,1.603,3532271.25
147,1.614,3510922.25
148,1.625,3452465.25
149,1.636,3419003
150,1.647,3408684.5
151,1.658,3432252
152,1.669,3469738.75
153,1.680,3520173.25
154,1.691,3554330.25
155,1.702,3571798.25
