#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_6_30_H-r003.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1243814.75
1,0.016,1225363.625
2,0.027,1258592.75
3,0.038,1479175.125
4,0.049,1993168.75
5,0.060,2518313.5
6,0.071,2808613.75
7,0.082,2821179.5
8,0.093,2452839
9,0.104,1833230.875
10,0.115,1332069.375
11,0.126,1096679.5
12,0.137,1042974.625
13,0.147,1072046.75
14,0.158,1114311
15,0.169,1157582.375
16,0.180,1186737.875
17,0.191,1202545.875
18,0.202,1213399.875
19,0.213,1217050.625
20,0.224,1221166.75
21,0.235,1228188
22,0.246,1239232.125
23,0.257,1246213.875
24,0.268,1256803.25
25,0.279,1261370.25
26,0.290,1268236.75
27,0.301,1271289.875
28,0.312,1279434.5
29,0.323,1286885
30,0.334,1271401.625
31,0.345,1162507.875
32,0.355,951959.5625
33,0.366,687592.125
34,0.377,415897.9375
35,0.388,191215.546875
36,0.399,80393.5078125
37,0.410,72314.6484375
38,0.421,118379.0703125
39,0.432,206657.71875
40,0.443,326768.03125
41,0.454,464717.5625
42,0.465,603945.75
43,0.476,733410.6875
44,0.487,835364.75
45,0.498,917034.8125
46,0.509,982176.0625
47,0.520,1033157.8125
48,0.531,1070931.5
49,0.542,1101283
50,0.552,1121585.625
51,0.563,1132230.25
52,0.574,1137724.25
53,0.585,1143764.5
54,0.596,1151287.125
55,0.607,1161946.5
56,0.618,1179007.75
57,0.629,1194199.875
58,0.640,1208393.375
59,0.651,1227093.5
60,0.662,1242648.125
61,0.673,1254485.5
62,0.684,1269580.375
63,0.695,1274799.625
64,0.706,1266668.125
65,0.717,1250306.125
66,0.728,1231647.875
67,0.739,1205727.75
68,0.750,1188064.25
69,0.760,1185640.875
70,0.771,1196602.125
71,0.782,1209743.5
72,0.793,1229271.875
73,0.804,1245645.25
74,0.815,1251517.75
75,0.826,1253647.25
76,0.837,1250791.25
77,0.848,1251661.375
78,0.859,1249513.75
79,0.870,1251770.5
80,0.881,1246521.625
81,0.892,1237750.625
82,0.903,1232485.625
83,0.914,1249834.5
84,0.925,1293792.625
85,0.936,1360101.375
86,0.947,1437460.875
87,0.957,1505275.125
88,0.968,1539742.625
89,0.979,1548868.25
90,0.990,1539162
91,1.001,1521612
92,1.012,1502438.625
93,1.023,1480884.625
94,1.034,1449224.875
95,1.045,1426014.125
96,1.056,1403348.625
97,1.067,1392108.25
98,1.078,1403118.625
99,1.089,1427052.125
100,1.100,1446832.875
101,1.111,1472421.875
102,1.122,1485745.25
103,1.133,1500433.375
104,1.144,1502751
105,1.155,1511274.625
106,1.165,1520876
107,1.176,1530712.125
108,1.187,1528659.625
109,1.198,1529256.375
110,1.209,1518116.25
111,1.220,1500548.125
112,1.231,1488347.5
113,1.242,1479647.75
114,1.253,1472737.875
115,1.264,1475373.5
116,1.275,1477465.375
117,1.286,1477936.75
118,1.297,1482601.5
119,1.308,1485334.375
120,1.319,1481718.375
121,1.330,1481812.125
122,1.341,1479240.875
123,1.352,1466724.875
124,1.362,1453497.125
125,1.373,1443741
126,1.384,1454109.125
127,1.395,1469412
128,1.406,1507783.25
129,1.417,1555328.375
130,1.428,1611727.125
131,1.439,1687586.375
132,1.450,1832237.75
133,1.461,2019545.125
134,1.472,2240594
135,1.483,2452347
136,1.494,2642493.75
137,1.505,2768123
138,1.516,2864069.25
139,1.527,2947779.5
140,1.538,3054392.25
141,1.549,3162071
142,1.560,3296280.5
143,1.570,3437331.5
144,1.581,3558889.25
145,1.592,3641791.5
146,1.603,3699698.75
147,1.614,3716064.5
148,1.625,3697142.25
149,1.636,3680488.25
150,1.647,3647207.5
151,1.658,3597046
152,1.669,3524393.25
153,1.680,3436667.75
154,1.691,3343724.5
155,1.702,3281982.25
156,1.713,3251559.25
157,1.724,3253926
158,1.735,3274281.5
159,1.746,3295987.5
160,1.757,3310418.75
161,1.767,3298172.5
162,1.778,3303619.75
163,1.789,3275655
164,1.800,3246960.75
165,1.811,3204968
166,1.822,3159447.5
167,1.833,3093608.25
168,1.844,3060128.25
169,1.855,3017645.75
170,1.866,2995340.75
171,1.877,2983686.25
172,1.888,2995422
173,1.899,3009929.75
174,1.910,3035652
175,1.921,3054045
176,1.932,3090232
177,1.943,3101204.5
178,1.954,3123665.75
179,1.964,3142539
180,1.975,3177368.5
181,1.986,3192667
182,1.997,3223769.75
183,2.008,3269417.25
184,2.019,3345786.75
185,2.030,3478636
186,2.041,3680093.5
187,2.052,3925950.75
188,2.063,4194023
189,2.074,4486425
190,2.085,4797902.5
191,2.096,5123080
192,2.107,5484012.5
193,2.118,5861504
194,2.129,6219949
195,2.140,6521640
196,2.151,6820858
197,2.162,7066674.5
198,2.172,7310644.5
199,2.183,7531611.5
200,2.194,7784669.5
201,2.205,8005491
202,2.216,8221856.5
203,2.227,8393991
204,2.238,8551121
205,2.249,8688143
206,2.260,8785365
207,2.271,8838696
208,2.282,8870176
209,2.293,8878230
210,2.304,8788751
211,2.315,8704992
212,2.326,8598655
213,2.337,8515513
214,2.348,8428065
215,2.359,8393521
216,2.369,8341876
217,2.380,8280015.5
218,2.391,8151465
219,2.402,7960650
220,2.413,7529540.5
221,2.424,6936517
222,2.435,6294519.5
223,2.446,5689831.5
224,2.457,5216309
225,2.468,5011614.5
226,2.479,4981757
227,2.490,4970716
228,2.501,4941535.5
229,2.512,4859205
230,2.523,4722137.5
231,2.534,4526279
232,2.545,4306160.5
233,2.556,4081092.5
234,2.567,3888082.5
235,2.577,3721732.75
236,2.588,3578705.75
237,2.599,3463460.5
238,2.610,3342686.75
239,2.621,3216021.75
240,2.632,3087676.75
241,2.643,2976445.75
242,2.654,2881737.5
243,2.665,2796655
244,2.676,2727124.75
245,2.687,2665499.5
246,2.698,2606936.75
247,2.709,2557584
248,2.720,2520708.25
249,2.731,2485722
250,2.742,2456329.5
251,2.753,2425887.5
252,2.764,2395605.5
253,2.774,2360068.75
254,2.785,2324152.75
255,2.796,2297664.75
256,2.807,2281901.5
257,2.818,2277598
258,2.829,2275871.75
259,2.840,2272194.75
260,2.851,2261260
261,2.862,2249571.5
262,2.873,2234535.75
263,2.884,2222974.25
264,2.895,2219924.75
265,2.906,2222183.25
266,2.917,2218545.75
267,2.928,2205866
268,2.939,2196411.75
269,2.950,2175904.75
270,2.961,2155212.75
271,2.972,2147332.25
272,2.982,2152766.25
273,2.993,2162197
274,3.004,2185570.5
275,3.015,2215807.5
276,3.026,2239469.5
277,3.037,2251352.25
278,3.048,2260799.75
279,3.059,2280277.5
280,3.070,2317168.25
281,3.081,2383389.25
282,3.092,2549782.5
283,3.103,2860419.75
284,3.114,3152827.75
285,3.125,3411882.5
286,3.136,3635061.75
287,3.147,3770201.75
288,3.158,3777694.75
289,3.169,3805373.75
290,3.179,3815941.5
291,3.190,3775670.75
292,3.201,3681457.5
293,3.212,3576123.5
294,3.223,3470068.5
295,3.234,3376104.5
296,3.245,3285889.75
297,3.256,3214350
298,3.267,3138379
299,3.278,3063887
300,3.289,2989753.25
301,3.300,2939549
302,3.311,2914168.75
303,3.322,2919650.5
304,3.333,2939001.5
305,3.344,2977128.25
306,3.355,3013476
307,3.366,3030353.5
308,3.376,3031763
309,3.387,3030318
310,3.398,3015733.25
311,3.409,3003257.75
312,3.420,3005114.5
313,3.431,3018912.25
314,3.442,3025132
315,3.453,3045860
316,3.464,3049827.75
317,3.475,3053568.75
318,3.486,3045834.75
