#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_1_5_H-r003.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1209192.625
1,0.016,1238600.875
2,0.027,1245826
3,0.038,1473311.125
4,0.049,1989563.375
5,0.060,2516434.75
6,0.071,2813344.5
7,0.082,2827816
8,0.093,2474558.5
9,0.104,1875714
10,0.115,1388678.375
11,0.126,1166986.75
12,0.137,1125954
13,0.147,1154835.625
14,0.158,1195103.25
15,0.169,1233331.625
16,0.180,1259044
17,0.191,1273747.875
18,0.202,1276149.25
19,0.213,1275089.5
20,0.224,1261053
21,0.235,1251242.125
22,0.246,1238957.125
23,0.257,1240233.875
24,0.268,1252493
25,0.279,1270932
26,0.290,1285674.625
27,0.301,1305780.25
28,0.312,1318138.625
29,0.323,1317676.875
30,0.334,1312217.5
31,0.345,1250873.75
32,0.355,1103300.25
33,0.366,888185.125
34,0.377,659328.125
35,0.388,469607.46875
36,0.399,402007.03125
37,0.410,497420.03125
38,0.421,724828.1875
39,0.432,1009699.1875
40,0.443,1278023.25
41,0.454,1464287.5
42,0.465,1545168.625
43,0.476,1533225.5
44,0.487,1471820.25
45,0.498,1402938.5
46,0.509,1356603.125
47,0.520,1329734.125
48,0.531,1303797.5
49,0.542,1277642.625
50,0.552,1246168.125
51,0.563,1215426
52,0.574,1190307.25
53,0.585,1189015.75
54,0.596,1192797.875
55,0.607,1205385.25
56,0.618,1220591.25
57,0.629,1232498.25
58,0.640,1235555.625
59,0.651,1244843.75
60,0.662,1257464.75
61,0.673,1267957.75
62,0.684,1269923.625
63,0.695,1272094.875
64,0.706,1266327.25
65,0.717,1251911.875
66,0.728,1253490.75
67,0.739,1266351.875
68,0.750,1276497.5
69,0.760,1287062.375
70,0.771,1299796.625
71,0.782,1305838
72,0.793,1306063.875
73,0.804,1305565.5
74,0.815,1303267
75,0.826,1300490.125
76,0.837,1295257.25
77,0.848,1287651.25
78,0.859,1272782.875
79,0.870,1256188.875
80,0.881,1236022.25
81,0.892,1219432.125
82,0.903,1219913.25
83,0.914,1236979.875
84,0.925,1263243.875
85,0.936,1314431.125
86,0.947,1371395.75
87,0.957,1425753.75
88,0.968,1467696.625
89,0.979,1499212.625
90,0.990,1504584.875
91,1.001,1500346.375
92,1.012,1488376.25
93,1.023,1473758.5
94,1.034,1461381.5
95,1.045,1461875.25
96,1.056,1466199.25
97,1.067,1482454.375
98,1.078,1500702.125
99,1.089,1517688
100,1.100,1534185.75
101,1.111,1540796.125
102,1.122,1536739.25
103,1.133,1524557.875
104,1.144,1508616.875
105,1.155,1492485.125
106,1.165,1482609.125
107,1.176,1466656
108,1.187,1446970.5
109,1.198,1431180.75
110,1.209,1416473.25
111,1.220,1412544.875
112,1.231,1419977.25
113,1.242,1438326.125
114,1.253,1448669.25
115,1.264,1460984.25
116,1.275,1470200.375
117,1.286,1477343
118,1.297,1484106.875
119,1.308,1492708.625
120,1.319,1495891.625
121,1.330,1500346.375
122,1.341,1502027.125
123,1.352,1500135.75
124,1.362,1504265.25
125,1.373,1516125.5
126,1.384,1540505.5
127,1.395,1574653.25
128,1.406,1614444.25
129,1.417,1648392.75
130,1.428,1691977.5
131,1.439,1746699.75
132,1.450,1839628.25
133,1.461,1991029.75
134,1.472,2167051.5
135,1.483,2340177.5
136,1.494,2499935.5
137,1.505,2617714.75
138,1.516,2711154
139,1.527,2824337.25
140,1.538,2952038.25
141,1.549,3093402.5
142,1.559,3246261.25
143,1.570,3390478.75
144,1.581,3515938.5
145,1.592,3607599
146,1.603,3666040.25
147,1.614,3707842.5
148,1.625,3723174.25
149,1.636,3732880
150,1.647,3725634.25
151,1.658,3706363.5
152,1.669,3667269.75
153,1.680,3606921
154,1.691,3546595.75
155,1.702,3516331.5
156,1.713,3482290.25
157,1.724,3454664.25
158,1.735,3447208.25
159,1.746,3463607.5
160,1.757,3427337
161,1.767,3401605.75
162,1.778,3361457.75
163,1.789,3300113.25
164,1.800,3209538.5
165,1.811,3145201.75
166,1.822,3051949
167,1.833,2987350.25
168,1.844,2933588
169,1.855,2901683.5
170,1.866,2907409.75
171,1.877,2945224.5
172,1.888,2957977.25
173,1.899,2988543.5
