#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_B02-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1188511.375
1,0.016,1215935.375
2,0.027,1222530.625
3,0.038,1455747.625
4,0.049,1965558.375
5,0.060,2480758.5
6,0.071,2788097.5
7,0.082,2817317.75
8,0.093,2460887.25
9,0.104,1866059
10,0.115,1387795
11,0.126,1138492.375
12,0.137,1071361.125
13,0.147,1083075.125
14,0.158,1116079.125
15,0.169,1141151.125
16,0.180,1173981.625
17,0.191,1199532.875
18,0.202,1217174.75
19,0.213,1232873.625
20,0.224,1240136.125
21,0.235,1247341.75
22,0.246,1249301.125
23,0.257,1257064.5
24,0.268,1254189
25,0.279,1259522.625
26,0.290,1256920
27,0.301,1259363
28,0.312,1256793.5
29,0.323,1267760.75
30,0.334,1250650.5
31,0.345,1141389.25
32,0.355,934321.5
33,0.366,677509.5625
34,0.377,410981.3125
35,0.388,198577.9375
36,0.399,104623.9296875
37,0.410,112958.6875
38,0.421,181603.15625
39,0.432,290269
40,0.443,419619.1875
41,0.454,552965.8125
42,0.465,671861.25
43,0.476,766853
44,0.487,839086.25
45,0.498,895396.6875
46,0.509,945340.9375
47,0.520,993966.875
48,0.531,1036971.4375
49,0.542,1069260
50,0.552,1094858.125
51,0.563,1118080
52,0.574,1133410.125
53,0.585,1141859
54,0.596,1148609.625
55,0.607,1155300.875
56,0.618,1151594.625
57,0.629,1159720.125
58,0.640,1169839.25
59,0.651,1185797.5
60,0.662,1205668.375
61,0.673,1228862.75
62,0.684,1238265.625
63,0.695,1252848
64,0.706,1259241.25
65,0.717,1264562.5
66,0.728,1274296.25
67,0.739,1281937.375
68,0.750,1271100.875
69,0.760,1257817.875
70,0.771,1240055.125
71,0.782,1222226
72,0.793,1217403.625
73,0.804,1225543.25
74,0.815,1233478.75
75,0.826,1241670.375
76,0.837,1255235.5
77,0.848,1266329
78,0.859,1278745.875
79,0.870,1285759
80,0.881,1290531.75
81,0.892,1294120.5
82,0.903,1295870.125
83,0.914,1300777.375
84,0.925,1327571.375
85,0.936,1364465.75
86,0.947,1407336.75
87,0.957,1461817.5
88,0.968,1510692.625
89,0.979,1537576.125
90,0.990,1546885.375
91,1.001,1543833.125
92,1.012,1528385.5
93,1.023,1507804.875
94,1.034,1489705.75
95,1.045,1477682
96,1.056,1466192.875
97,1.067,1452021.375
98,1.078,1436050.875
99,1.089,1418150.125
100,1.100,1411522
101,1.111,1408956.875
102,1.122,1410472.25
103,1.133,1420282.625
104,1.144,1433816.125
105,1.155,1435956.375
106,1.165,1447198.875
107,1.176,1454454.625
108,1.187,1455737.25
109,1.198,1450656.625
110,1.209,1456464
111,1.220,1452626.625
112,1.231,1451056.75
113,1.242,1452179
114,1.253,1451590.125
115,1.264,1440759.5
116,1.275,1438282.375
117,1.286,1443933.875
118,1.297,1451027.5
119,1.308,1465286.375
120,1.319,1479600.75
121,1.330,1488724
122,1.341,1491452.75
123,1.352,1497243.625
124,1.362,1506104.75
125,1.373,1516209.25
126,1.384,1521230.375
127,1.395,1526272.875
128,1.406,1536148.875
129,1.417,1552433.375
130,1.428,1582888.25
131,1.439,1653040.875
132,1.450,1771148.875
133,1.461,1929966.5
134,1.472,2118332.25
135,1.483,2321669
136,1.494,2481786
137,1.505,2597017.75
138,1.516,2662633.25
139,1.527,2714909
140,1.538,2784677
141,1.549,2938654.5
142,1.559,3172000.75
143,1.570,3447577.25
144,1.581,3714087.25
145,1.592,3877174.25
146,1.603,3906062.75
147,1.614,3847011.5
148,1.625,3761441.5
149,1.636,3694860.75
150,1.647,3665104.25
151,1.658,3657178.25
152,1.669,3631300.75
153,1.680,3604697.75
154,1.691,3545154.75
155,1.702,3473837.25
156,1.713,3372578.25
157,1.724,3277685.25
158,1.735,3186926.75
159,1.746,3128827.5
160,1.757,3122119.5
161,1.767,3154077.75
162,1.778,3157626.75
163,1.789,3157816.5
164,1.800,3141478.5
165,1.811,3118061.25
166,1.822,3076214
167,1.833,3068996.75
168,1.844,3034831.5
169,1.855,3013305.25
170,1.866,2975477.25
171,1.877,2943824
172,1.888,2906145.75
173,1.899,2883954.75
174,1.910,2868146.5
175,1.921,2876999
176,1.932,2906971
177,1.943,2936448.75
178,1.954,2998560.75
179,1.964,3062143.5
180,1.975,3133648
181,1.986,3222185.75
182,1.997,3344652.5
183,2.008,3446267
184,2.019,3561135.25
185,2.030,3660675.5
186,2.041,3777029.5
187,2.052,3893388.5
188,2.063,4060739.25
189,2.074,4297762.5
190,2.085,4600244
191,2.096,4955406.5
192,2.107,5358159
193,2.118,5767193.5
194,2.129,6148096.5
195,2.140,6532971.5
196,2.151,6850505.5
197,2.162,7085324.5
198,2.172,7222558.5
199,2.183,7289703.5
200,2.194,7355152.5
201,2.205,7473345
202,2.216,7731001.5
203,2.227,8054640
204,2.238,8385001.5
205,2.249,8636954
206,2.260,8843114
207,2.271,8945599
208,2.282,8973433
209,2.293,8976613
210,2.304,8953117
211,2.315,8898483
212,2.326,8803074
213,2.337,8698219
214,2.348,8525555
215,2.359,8346788.5
216,2.369,8180620
217,2.380,8039129.5
218,2.391,7919918
219,2.402,7802676
220,2.413,7629867
221,2.424,7373264.5
222,2.435,7042862.5
223,2.446,6718106
224,2.457,6411459.5
225,2.468,6151289
226,2.479,5936574.5
227,2.490,5750605
228,2.501,5516465
229,2.512,5267061
230,2.523,5016444.5
231,2.534,4756350.5
232,2.545,4529128.5
233,2.556,4317091
234,2.567,4130945.5
235,2.577,3957070
236,2.588,3834763.25
237,2.599,3702406
238,2.610,3596226.5
239,2.621,3492466.75
240,2.632,3412504
241,2.643,3309043.5
242,2.654,3220189
243,2.665,3108313.75
244,2.676,2990348.25
245,2.687,2876993.5
246,2.698,2782986.5
247,2.709,2719088.5
248,2.720,2655483
249,2.731,2609208.5
250,2.742,2557316.75
251,2.753,2521672.75
252,2.764,2474066
253,2.774,2457052.75
254,2.785,2432020.25
255,2.796,2427919.25
256,2.807,2421321
257,2.818,2423002.75
258,2.829,2435034
259,2.840,2460174
260,2.851,2473835.25
261,2.862,2498283.25
262,2.873,2526211.75
263,2.884,2550802.75
264,2.895,2569028.25
265,2.906,2590378
266,2.917,2608788.5
267,2.928,2611918.5
268,2.939,2630627.5
269,2.950,2660280.75
270,2.961,2679551
271,2.972,2700633.25
272,2.982,2715213.25
273,2.993,2716008.5
274,3.004,2714853.75
275,3.015,2741358
276,3.026,2779250
277,3.037,2857036.75
278,3.048,2946462.25
279,3.059,3063171
280,3.070,3216621.25
281,3.081,3399750.75
282,3.092,3437251.5
283,3.103,3159798
284,3.114,2695229.25
285,3.125,2138633.5
286,3.136,1617146.875
287,3.147,1342227.25
288,3.158,1412412.125
289,3.169,1628383.75
290,3.179,1908589.125
291,3.190,2224735.75
292,3.201,2548244.5
293,3.212,2872472.5
294,3.223,3168043
295,3.234,3405495.25
296,3.245,3592040.25
297,3.256,3711316
298,3.267,3769097.25
299,3.278,3760083.25
300,3.289,3714142.25
301,3.300,3616380.75
302,3.311,3518472
303,3.322,3412230.75
304,3.333,3321394.25
305,3.344,3252415.25
306,3.355,3192482.25
307,3.366,3129618.25
308,3.376,3084835
309,3.387,3038689.5
310,3.398,3003558.5
311,3.409,2990159
312,3.420,2993299.75
313,3.431,3006587.75
314,3.442,3033402.25
315,3.453,3043652
316,3.464,3045830.25
317,3.475,3049578.75
318,3.486,3046411.75
319,3.497,3047548.5
320,3.508,3051246.25
321,3.519,3059632.25
322,3.530,3062592.25
323,3.541,3060652
324,3.552,3045062
325,3.563,3026619
326,3.574,3007647.5
327,3.584,3004327
328,3.595,3004911.5
329,3.606,3017152.75
330,3.617,3019644.25
331,3.628,3025667.75
332,3.639,3023664.75
333,3.650,3042206.25
334,3.661,3061755.5
335,3.672,3110510.5
336,3.683,3108873.5
337,3.694,3154767.25
