#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_5_25_L-r001.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1242405.75
1,0.016,1257516.25
2,0.027,1275572.125
3,0.038,1503051.625
4,0.049,2006859.375
5,0.060,2508328.75
6,0.071,2802994.5
7,0.082,2818331.75
8,0.093,2457793.5
9,0.104,1852849.375
10,0.115,1368246.875
11,0.126,1121749.375
12,0.137,1069330.625
13,0.147,1091297.625
14,0.158,1136133.25
15,0.169,1174584.875
16,0.180,1200479.125
17,0.191,1221402.75
18,0.202,1230914
19,0.213,1240745.625
20,0.224,1250255.25
21,0.235,1256530
22,0.246,1262465.5
23,0.257,1276979.125
24,0.268,1281094.625
25,0.279,1280541.25
26,0.290,1286552.625
27,0.301,1288697.375
28,0.312,1289338.875
29,0.323,1294963.625
30,0.334,1282220.75
31,0.345,1171662.375
32,0.355,960319.1875
33,0.366,696953.5
34,0.377,425822.84375
35,0.388,201696.78125
36,0.399,95878.4296875
37,0.410,97073.7890625
38,0.421,161151.390625
39,0.432,266613.90625
40,0.443,404832.78125
41,0.454,556126.625
42,0.465,699265.8125
43,0.476,819465.8125
44,0.487,914039.5625
45,0.498,984085.75
46,0.509,1035851.8125
47,0.520,1083786.375
48,0.531,1120448.375
49,0.542,1143000
50,0.552,1153120.625
51,0.563,1161801.5
52,0.574,1153983.125
53,0.585,1150280.875
54,0.596,1150770
55,0.607,1154251.25
56,0.618,1162819.5
57,0.629,1179746
58,0.640,1192413.875
59,0.651,1210148.125
60,0.662,1232483.875
61,0.673,1248008.375
62,0.684,1261355.125
63,0.695,1275141.25
64,0.706,1283005
65,0.717,1272546.25
66,0.728,1255129.625
67,0.739,1242123.375
68,0.750,1227018.625
69,0.760,1209334.875
70,0.771,1214964.125
71,0.782,1226188.625
72,0.793,1240929
73,0.804,1257968
74,0.815,1268414.75
75,0.826,1276307.875
76,0.837,1278408.375
77,0.848,1274923.625
78,0.859,1273312.625
79,0.870,1281168.75
80,0.881,1271244.375
81,0.892,1265324.375
82,0.903,1259093.875
83,0.914,1258165
84,0.925,1285953.5
85,0.936,1350695.75
86,0.947,1424541.875
87,0.957,1501456.75
88,0.968,1569568.625
89,0.979,1592602.25
90,0.990,1591294.625
91,1.001,1580179.625
92,1.012,1557460.75
93,1.023,1530576.375
94,1.034,1501209.75
95,1.045,1465386.125
96,1.056,1427497.5
97,1.067,1402785.75
98,1.078,1388479
99,1.089,1392190.375
100,1.100,1404136.125
101,1.111,1424180
102,1.122,1448857.75
103,1.133,1461098.625
104,1.144,1479835.5
105,1.155,1488765.875
106,1.165,1494943.5
107,1.176,1488562.625
108,1.187,1489086.875
109,1.198,1478064.75
110,1.209,1473004.25
111,1.220,1466690.875
112,1.231,1460470.5
113,1.242,1464506.125
114,1.253,1469540.75
115,1.264,1473304
116,1.275,1480400.375
117,1.286,1487906.875
118,1.297,1499039.75
119,1.308,1512874.625
120,1.319,1527383.125
121,1.330,1534031.625
122,1.341,1543976
123,1.352,1537245.375
124,1.362,1527274.375
125,1.373,1511943.75
126,1.384,1514380.75
127,1.395,1516214
128,1.406,1537869.5
129,1.417,1571483
130,1.428,1626661.25
131,1.439,1701624.875
132,1.450,1850999.625
133,1.461,2049692.75
134,1.472,2270523.75
135,1.483,2490483.5
136,1.494,2675979.5
137,1.505,2797738
138,1.516,2873055.25
139,1.527,2940244.75
140,1.538,3009686.5
141,1.549,3095131.75
142,1.560,3203829.75
143,1.570,3342773.75
144,1.581,3464648.5
145,1.592,3582481.25
146,1.603,3658743.25
147,1.614,3691833.5
148,1.625,3699341
149,1.636,3692935
150,1.647,3670541.5
151,1.658,3650560.25
152,1.669,3606277.75
153,1.680,3525094
154,1.691,3437829.25
155,1.702,3338823
156,1.713,3278464.5
157,1.724,3249487.25
158,1.735,3245733
159,1.746,3274720.75
160,1.757,3312626.75
161,1.767,3330478.25
162,1.778,3349630.75
163,1.789,3367307
164,1.800,3357947.5
165,1.811,3346640.25
166,1.822,3315714.75
167,1.833,3268692.75
168,1.844,3208522.5
169,1.855,3135549.25
170,1.866,3068955
171,1.877,3030728.75
172,1.888,3009724.75
173,1.899,2998356.75
174,1.910,3001348.75
175,1.921,3018320.25
176,1.932,3029856.75
177,1.943,3050444.75
178,1.954,3080877.75
179,1.964,3140419.5
180,1.975,3187061.25
181,1.986,3234461.25
182,1.997,3269128
183,2.008,3314561.5
184,2.019,3361476.5
185,2.030,3470138.5
186,2.041,3632265.75
187,2.052,3850682.25
188,2.063,4127116.5
189,2.074,4446207.5
190,2.085,4798936
191,2.096,5222455
192,2.107,5647591.5
193,2.118,6065373
194,2.129,6488999.5
195,2.140,6905094
196,2.151,7237612.5
197,2.162,7569330
198,2.172,7848187
199,2.183,8098218
200,2.194,8300355
201,2.205,8502433
202,2.216,8686088
203,2.227,8840287
204,2.238,8968675
205,2.249,9056444
206,2.260,9118643
207,2.271,9146146
208,2.282,9180528
209,2.293,9161605
210,2.304,9117998
211,2.315,9020742
212,2.326,8879934
213,2.337,8725252
214,2.348,8600403
215,2.359,8508194
216,2.369,8446908
217,2.380,8357312.5
218,2.391,8228939
219,2.402,7999231.5
220,2.413,7591307.5
221,2.424,7048179.5
222,2.435,6476799
223,2.446,5935930
224,2.457,5540072
225,2.468,5342158
226,2.479,5256186
227,2.490,5173913
228,2.501,5068746.5
229,2.512,4891406.5
230,2.523,4681313
231,2.534,4444386
232,2.545,4229811
233,2.556,4015956.5
234,2.567,3825409.75
235,2.577,3633621.5
236,2.588,3474260.5
237,2.599,3329633.5
238,2.610,3196655
239,2.621,3084432
240,2.632,2977640.75
241,2.643,2865877
242,2.654,2762984.5
243,2.665,2683069.75
244,2.676,2620687
245,2.687,2567147.75
246,2.698,2530330.5
247,2.709,2500921.5
248,2.720,2470031
249,2.731,2430981
250,2.742,2411799.25
251,2.753,2387529.25
252,2.764,2359883.75
253,2.774,2336572.25
254,2.785,2316862.5
255,2.796,2304941.25
256,2.807,2293581.5
257,2.818,2289010.5
258,2.829,2275440.25
259,2.840,2275562.5
260,2.851,2274434.75
261,2.862,2267885.5
262,2.873,2270734.5
263,2.884,2277011
264,2.895,2282838.5
265,2.906,2280044.5
266,2.917,2294174
267,2.928,2296601
268,2.939,2297271.5
269,2.950,2288795.25
270,2.961,2281243
271,2.972,2267926.25
272,2.982,2260584.75
273,2.993,2270592.25
274,3.004,2286704.25
275,3.015,2311438
276,3.026,2342958
277,3.037,2374772.25
278,3.048,2412245.5
279,3.059,2459266.25
280,3.070,2519843.25
281,3.081,2682999
282,3.092,2988778.25
283,3.103,3196631.25
284,3.114,3321265
285,3.125,3411865.75
286,3.136,3432797.75
287,3.147,3419732
288,3.158,3557123.5
289,3.169,3734177.75
290,3.179,3863536.25
291,3.190,3918443.75
292,3.201,3917442.75
293,3.212,3864501.5
294,3.223,3790931.25
295,3.234,3694103.25
296,3.245,3594369
297,3.256,3488335.25
298,3.267,3395781
299,3.278,3302058.75
300,3.289,3215295.5
301,3.300,3150608.25
302,3.311,3100360.75
303,3.322,3088960.25
304,3.333,3086991
305,3.344,3081470.25
306,3.355,3065374.5
307,3.366,3044078
308,3.376,3008562.75
309,3.387,2981169.25
310,3.398,2991333
311,3.409,3001103.25
312,3.420,3030591.25
313,3.431,3071191.25
314,3.442,3103284.75
315,3.453,3117230.5
316,3.464,3135647.25
317,3.475,3147386.75
318,3.486,3152829.75
319,3.497,3166668
320,3.508,3161283.5
321,3.519,3154685
322,3.530,3122795.5
323,3.541,3062696
324,3.552,2984752.75
325,3.563,2923781.75
326,3.574,2870655.25
327,3.584,2855397.25
328,3.595,2878653
329,3.606,2927891.5
330,3.617,2971652
331,3.628,3037715.75
332,3.639,3096682.25
333,3.650,3151247.25
334,3.661,3190826.5
335,3.672,3247752.25
336,3.683,3224853.75
337,3.694,3205069.25
