#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_3_15_H-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1223754.75
1,0.016,1235008.125
2,0.027,1234829.5
3,0.038,1462897.875
4,0.049,1946356.25
5,0.060,2422959
6,0.071,2703865.5
7,0.082,2717188.75
8,0.093,2369415.5
9,0.104,1808348.625
10,0.115,1368486.875
11,0.126,1149284
12,0.137,1100832.25
13,0.147,1120349.5
14,0.158,1157101.625
15,0.169,1187189.75
16,0.180,1200289.25
17,0.191,1202199.625
18,0.202,1187960.25
19,0.213,1173405
20,0.224,1167707
21,0.235,1181810.5
22,0.246,1200369.25
23,0.257,1228282.875
24,0.268,1251703.125
25,0.279,1273200.125
26,0.290,1287878.125
27,0.301,1298195
28,0.312,1302347.375
29,0.323,1312263.5
30,0.334,1285108.875
31,0.345,1178175.75
32,0.355,974886.25
33,0.366,719778.875
34,0.377,452589.5
35,0.388,244558.234375
36,0.399,147395.078125
37,0.410,166755.578125
38,0.421,264494.96875
39,0.432,414464.625
40,0.443,592397.75
41,0.454,764541.125
42,0.465,909790.6875
43,0.476,1015599.1875
44,0.487,1078176.125
45,0.498,1110741
46,0.509,1127171.875
47,0.520,1136970
48,0.531,1138099.75
49,0.542,1143748.5
50,0.552,1157171.875
51,0.563,1169223
52,0.574,1183747.125
53,0.585,1205470.125
54,0.596,1215958.5
55,0.607,1219787.875
56,0.618,1231819.5
57,0.629,1235833.625
58,0.640,1229316.125
59,0.651,1232448.375
60,0.662,1233480.375
61,0.673,1229077
62,0.684,1228361.5
63,0.695,1230871
64,0.706,1234782.375
65,0.717,1240922.125
66,0.728,1249499.75
67,0.739,1251826.875
68,0.750,1256087.75
69,0.760,1257910.75
70,0.771,1260891.625
71,0.782,1265598.125
72,0.793,1271527.375
73,0.804,1266945.75
74,0.815,1252227.5
75,0.826,1231265.5
76,0.837,1213014.75
77,0.848,1196054.75
78,0.859,1188297.125
79,0.870,1192230.125
80,0.881,1210159.25
81,0.892,1220102.625
82,0.903,1236628.125
83,0.914,1262191.375
84,0.925,1294300.875
85,0.936,1330460.25
86,0.947,1393060
87,0.957,1447884.125
88,0.968,1486010.5
89,0.979,1500822.125
90,0.990,1499454.5
91,1.001,1478928.75
92,1.012,1464182.125
93,1.023,1452494.125
94,1.034,1449968.375
95,1.045,1451520
96,1.056,1459786
97,1.067,1471254
98,1.078,1478933.5
99,1.089,1484638.625
100,1.100,1490332.75
101,1.111,1490626.375
102,1.122,1487063
103,1.133,1476193.875
104,1.144,1455172.25
105,1.155,1433625.5
106,1.165,1414419
107,1.176,1405391.75
108,1.187,1409170.375
109,1.198,1423860.125
110,1.209,1438591.125
111,1.220,1453179.625
112,1.231,1462033.125
113,1.242,1473285.875
114,1.253,1480919.625
115,1.264,1483313.25
116,1.275,1488394.125
117,1.286,1488486.5
118,1.297,1479892.625
119,1.308,1470031.75
120,1.319,1465002.125
121,1.330,1461800.375
122,1.341,1460047.25
123,1.352,1467899.5
124,1.362,1483685.25
125,1.373,1502020.75
126,1.384,1534387.75
127,1.395,1566396.625
128,1.406,1594840
129,1.417,1621471.375
130,1.428,1651122.625
131,1.439,1696427.375
132,1.450,1791119.125
133,1.461,1912339.875
134,1.472,2057796
135,1.483,2211843.75
136,1.494,2359831.5
137,1.505,2498634.75
138,1.516,2633902
139,1.527,2773526
140,1.538,2922579.75
141,1.549,3071288.5
142,1.559,3210113.25
143,1.570,3353036
144,1.581,3460961.75
145,1.592,3527164.5
146,1.603,3574230
147,1.614,3579601
148,1.625,3571522.25
149,1.636,3547920
150,1.647,3532385.25
151,1.658,3506280
152,1.669,3490423
153,1.680,3477430.75
154,1.691,3484055.25
155,1.702,3514821
156,1.713,3520254.75
157,1.724,3517306.5
158,1.735,3475598.25
159,1.746,3425432.5
160,1.757,3337763.75
161,1.767,3264593.5
162,1.778,3171224.5
163,1.789,3091444.5
164,1.800,2995869.75
165,1.811,2927311
166,1.822,2890397.75
167,1.833,2896469.25
168,1.844,2897273.75
169,1.855,2928800.25
170,1.866,2944565.75
171,1.877,2949378.5
172,1.888,2950706.75
173,1.899,2964591
174,1.910,2961619.75
175,1.921,2958476.25
176,1.932,2944469
177,1.943,2933737.25
178,1.954,2926692
179,1.964,2936939.5
180,1.975,2984982.5
181,1.986,3071105.5
182,1.997,3179248
183,2.008,3329102
184,2.019,3501426.25
185,2.030,3676359.25
186,2.041,3877150.25
187,2.052,4101713.25
188,2.063,4341381
189,2.074,4647640
190,2.085,4935647
191,2.096,5217373
192,2.107,5464833.5
193,2.118,5738110.5
194,2.129,5987669.5
195,2.140,6341788
196,2.151,6717666
197,2.162,7127757.5
198,2.172,7508856
199,2.183,7853220.5
200,2.194,8122146.5
201,2.205,8370279.5
202,2.216,8571034
203,2.227,8728134
204,2.238,8851971
205,2.249,8922485
206,2.260,8941296
207,2.271,8939985
208,2.282,8940426
209,2.293,8947746
210,2.304,8971130
211,2.315,8984387
212,2.326,8960895
213,2.337,8915596
214,2.348,8870771
215,2.359,8782298
216,2.369,8675200
217,2.380,8548363
218,2.391,8369311.5
219,2.402,8074793
220,2.413,7636377.5
221,2.424,7058240
222,2.435,6443688
223,2.446,5854721
224,2.457,5448814
225,2.468,5246057
226,2.479,5199355.5
227,2.490,5182167.5
228,2.501,5139178.5
229,2.512,5029226.5
230,2.523,4865610.5
231,2.534,4650842.5
232,2.545,4429197
233,2.556,4205740
234,2.567,3992208.5
235,2.577,3794153.25
236,2.588,3633138.75
237,2.599,3487445.75
238,2.610,3387408
239,2.621,3281328
240,2.632,3208347.5
241,2.643,3139078.5
242,2.654,3070911
243,2.665,2997378.5
244,2.676,2932412.75
245,2.687,2847251
246,2.698,2765424.5
247,2.709,2699431.5
248,2.720,2614676.5
249,2.731,2543730.5
250,2.742,2480566
251,2.753,2414323.25
252,2.764,2358963.75
253,2.774,2329164.5
254,2.785,2302243
255,2.796,2291154
256,2.807,2289034
257,2.818,2290022
258,2.829,2292859
259,2.840,2301934
260,2.851,2297452.5
261,2.862,2297128.25
262,2.873,2293166.25
263,2.884,2294448.25
264,2.895,2291921
265,2.906,2297427.25
266,2.917,2294258.75
267,2.928,2292455
268,2.939,2295998.5
269,2.950,2307699.75
270,2.961,2321143.25
271,2.971,2340596.75
272,2.982,2356758.5
273,2.993,2359368.25
274,3.004,2364451.75
275,3.015,2368903.75
276,3.026,2368497.5
277,3.037,2364301
278,3.048,2355959.75
279,3.059,2351045.25
280,3.070,2343857
281,3.081,2385652.75
282,3.092,2556966
283,3.103,2867861.25
284,3.114,3203598
285,3.125,3535534.75
286,3.136,3798418.25
287,3.147,3912891.25
288,3.158,3890462.25
289,3.169,3825735.25
290,3.179,3742108.75
291,3.190,3619395.5
292,3.201,3506219.75
293,3.212,3413011.5
294,3.223,3341537.5
295,3.234,3275840.25
296,3.245,3224997.25
297,3.256,3171563
298,3.267,3133528
299,3.278,3097600.25
300,3.289,3056000
301,3.300,3030881.75
302,3.311,3016544.25
303,3.322,3011099.75
