#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_5_25_L-r002.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1260789.5
1,0.016,1231477.625
2,0.027,1259387.5
3,0.038,1494189.75
4,0.049,1968471.875
5,0.060,2440017.25
6,0.071,2704091.75
7,0.082,2704711.25
8,0.093,2339855.25
9,0.104,1780200.5
10,0.115,1341485.5
11,0.126,1134947.125
12,0.137,1099498.625
13,0.147,1130883.625
14,0.158,1180761
15,0.169,1221512.375
16,0.180,1243885.5
17,0.191,1253701.25
18,0.202,1253335.875
19,0.213,1241953.125
20,0.224,1241827
21,0.235,1247287
22,0.246,1252367.25
23,0.257,1262771.625
24,0.268,1275559
25,0.279,1281595.5
26,0.290,1294568.125
27,0.301,1309406
28,0.312,1321802
29,0.323,1327471.5
30,0.334,1308516.875
31,0.345,1188283.875
32,0.355,967752.8125
33,0.366,695432.125
34,0.377,423066.875
35,0.388,198137.09375
36,0.399,93468.203125
37,0.410,94776.703125
38,0.421,156255.375
39,0.432,265502.25
40,0.443,408351.0625
41,0.454,563919.25
42,0.465,709081.0625
43,0.476,831796.25
44,0.487,922471.5625
45,0.498,986513.75
46,0.509,1032860.6875
47,0.520,1067300.75
48,0.531,1088971.625
49,0.542,1101398.5
50,0.552,1107938.75
51,0.563,1111054.375
52,0.574,1116515
53,0.585,1124324
54,0.596,1132400.5
55,0.607,1143655.125
56,0.618,1163196.5
57,0.629,1183850.125
58,0.640,1207779.75
59,0.651,1231271.375
60,0.662,1253703.875
61,0.673,1268443.25
62,0.684,1273339.25
63,0.695,1270561.625
64,0.706,1258698.125
65,0.717,1241379.75
66,0.728,1223265.25
67,0.739,1215445
68,0.750,1214588.75
69,0.760,1227463.25
70,0.771,1239474
71,0.782,1252348.125
72,0.793,1259283.75
73,0.804,1264677.25
74,0.815,1268272.25
75,0.826,1265427.375
76,0.837,1267792.375
77,0.848,1266387.5
78,0.859,1261905.875
79,0.870,1255713.5
80,0.881,1255754
81,0.892,1253896.125
82,0.903,1262938.5
83,0.914,1282691.875
84,0.925,1322399.125
85,0.936,1387044.875
86,0.947,1459441.375
87,0.957,1531447.25
88,0.968,1580221.25
89,0.979,1604537.125
90,0.990,1594749.875
91,1.001,1576251.25
92,1.012,1539558.875
93,1.023,1502244.25
94,1.034,1466230.125
95,1.045,1439870.125
96,1.056,1423145
97,1.067,1426975
98,1.078,1442031
99,1.089,1461992.375
100,1.100,1487907.125
101,1.111,1502424
102,1.122,1518488.375
103,1.133,1525068.25
104,1.144,1528041.875
105,1.155,1520100.25
106,1.165,1520807
107,1.176,1508532.75
108,1.187,1500033.375
109,1.198,1484967
110,1.209,1473805.125
111,1.220,1469232.625
112,1.231,1471497.375
113,1.242,1477907.75
114,1.253,1489367.125
115,1.264,1501480.25
116,1.275,1502089.375
117,1.286,1508672.75
118,1.297,1512889.125
119,1.308,1518108
120,1.319,1528700.375
121,1.330,1532841.75
122,1.341,1523938
123,1.352,1509737.375
124,1.362,1501847.25
125,1.373,1501169.25
126,1.384,1517432.125
127,1.395,1555840.75
128,1.406,1603872.125
129,1.417,1647878
