#"+ESI MRM Frag=135.0V CID@10.0 (466.2 -> 325.3) 20230111_Volume_4_20_H-r003.d "
#Point,X(Minutes),Y(Counts)
0,0.005,1266369
1,0.016,1263283.625
2,0.027,1270056.125
3,0.038,1463160.125
4,0.049,1905415.625
5,0.060,2371351.25
6,0.071,2650191.75
7,0.082,2677494.75
8,0.093,2366192.5
9,0.104,1828698
10,0.115,1380400.25
11,0.126,1157285
12,0.137,1105456.625
13,0.147,1130917.625
14,0.158,1175720
15,0.169,1214096.25
16,0.180,1243601.25
17,0.191,1253800.75
18,0.202,1257604.25
19,0.213,1255832.125
20,0.224,1253693.25
21,0.235,1250886.375
22,0.246,1263421.25
23,0.257,1276428.625
24,0.268,1290092.625
25,0.279,1309326
26,0.290,1327322.625
27,0.301,1336685.5
28,0.312,1345544.75
29,0.323,1346304.375
30,0.334,1319584.125
31,0.345,1199376.875
32,0.355,979709.75
33,0.366,706979.25
34,0.377,434846.40625
35,0.388,212750.640625
36,0.399,111444.265625
37,0.410,120080.5703125
38,0.421,197059.53125
39,0.432,320062.375
40,0.443,475959.15625
41,0.454,638502.25
42,0.465,789037.1875
43,0.476,902009.4375
44,0.487,986747.9375
45,0.498,1042216.3125
46,0.509,1083912
47,0.520,1109807.5
48,0.531,1130912
49,0.542,1141642.75
50,0.552,1147773.125
51,0.563,1159702.375
52,0.574,1170045.25
53,0.585,1184214.125
54,0.596,1198480.375
55,0.607,1212823.5
56,0.618,1218205
57,0.629,1226023.875
58,0.640,1234900.75
59,0.651,1248772.75
60,0.662,1252445
61,0.673,1251367.625
62,0.684,1249064.375
63,0.695,1239956.25
64,0.706,1229971.625
65,0.717,1238081.875
66,0.728,1249646.375
67,0.739,1260606.375
68,0.750,1275294.75
69,0.760,1283002.625
70,0.771,1289232.25
71,0.782,1292516.25
72,0.793,1297345.625
73,0.804,1295055.875
74,0.815,1295400.75
75,0.826,1284201.5
76,0.837,1277259
77,0.848,1265442.25
78,0.859,1259337.375
79,0.870,1260476.625
80,0.881,1266672.5
81,0.892,1271678.125
82,0.903,1283960.5
83,0.914,1309767.5
84,0.925,1350947.125
85,0.936,1411365.75
86,0.947,1475251.75
87,0.957,1529174.875
88,0.968,1562208.375
89,0.979,1556827.625
90,0.990,1525344
91,1.001,1482166.125
92,1.012,1439802.375
93,1.023,1412791.5
94,1.034,1406566.875
95,1.045,1417064.875
96,1.056,1435992.75
97,1.067,1454571.25
98,1.078,1466992
99,1.089,1484363
100,1.100,1493444.625
101,1.111,1499439.75
102,1.122,1505607.5
103,1.133,1506005.75
104,1.144,1496952.625
105,1.155,1495125.25
106,1.165,1488893.25
107,1.176,1483697.75
108,1.187,1484884
109,1.198,1494371.125
110,1.209,1496514.875
111,1.220,1499944
112,1.231,1505928.125
113,1.242,1506799.125
114,1.253,1506881.75
115,1.264,1502786.625
116,1.275,1500960.875
117,1.286,1498435.75
118,1.297,1489004.125
119,1.308,1472383.5
120,1.319,1462957.5
121,1.330,1455756.625
122,1.341,1440949.25
123,1.352,1444411
124,1.362,1460042.875
125,1.373,1486835.5
126,1.384,1523389.75
127,1.395,1568407
128,1.406,1609145.875
129,1.417,1650132.75
130,1.428,1691361.875
131,1.439,1758481.75
132,1.450,1873355.625
133,1.461,2039222.25
134,1.472,2225716.75
135,1.483,2414834.25
136,1.494,2586966
137,1.505,2726615.75
138,1.516,2861161.5
139,1.527,2988230.5
140,1.538,3132733.75
141,1.549,3280679.25
142,1.559,3441935.5
143,1.570,3570739.25
144,1.581,3679049
145,1.592,3735006
146,1.603,3756769
147,1.614,3719575.25
148,1.625,3653459.75
149,1.636,3568153.75
150,1.647,3492857
151,1.658,3425757.75
152,1.669,3395457
153,1.680,3403832.25
154,1.691,3434086
155,1.702,3464374.75
156,1.713,3488207
157,1.724,3493474.25
158,1.735,3487017.5
159,1.746,3472330.75
160,1.757,3457989
161,1.767,3438848.5
162,1.778,3407167.25
163,1.789,3348397.25
164,1.800,3271461.75
165,1.811,3193193.5
166,1.822,3133025.75
167,1.833,3101198.25
168,1.844,3080822
169,1.855,3080480.75
170,1.866,3072258.75
171,1.877,3062153.25
172,1.888,3043417.75
173,1.899,3030166
174,1.910,3011251
175,1.921,2992831.25
176,1.932,2964792.5
177,1.943,2944391.25
178,1.954,2920491.75
179,1.964,2904300.25
180,1.975,2921260.75
181,1.986,2978004
182,1.997,3068955.5
183,2.008,3190512.5
184,2.019,3367808.25
185,2.030,3567954.75
186,2.041,3800513.25
187,2.052,4047966.25
188,2.063,4295813
189,2.074,4544721.5
190,2.085,4824817
191,2.096,5109273.5
192,2.107,5408992.5
193,2.118,5708661.5
194,2.129,6006501.5
195,2.140,6310514.5
196,2.151,6659430
197,2.162,7002763.5
198,2.172,7327685.5
199,2.183,7640178
200,2.194,7914203.5
201,2.205,8148607.5
202,2.216,8340895.5
203,2.227,8517311
204,2.238,8623572
205,2.249,8662471
206,2.260,8665554
207,2.271,8629384
208,2.282,8566499
209,2.293,8501341
210,2.304,8478925
211,2.315,8478710
212,2.326,8535976
213,2.337,8570529
214,2.348,8586114
215,2.359,8573192
216,2.369,8498676
217,2.380,8405976
218,2.391,8265601
219,2.402,8042253.5
220,2.413,7695228
221,2.424,7185042.5
222,2.435,6598835.5
223,2.446,6046603.5
224,2.457,5616129.5
225,2.468,5350743.5
226,2.479,5261210
227,2.490,5201207
228,2.501,5139214.5
229,2.512,5022271.5
230,2.523,4844164.5
231,2.534,4638675
232,2.545,4421124
233,2.556,4195114.5
234,2.567,3978688.5
235,2.577,3782173.75
236,2.588,3577162.5
237,2.599,3396551.25
238,2.610,3253024
239,2.621,3135201.25
240,2.632,3040290.75
241,2.643,2980998.25
242,2.654,2914628.25
243,2.665,2847367.25
244,2.676,2786222.25
245,2.687,2735086.5
246,2.698,2676835.5
247,2.709,2630572
248,2.720,2573879.75
249,2.731,2515196.75
250,2.742,2448366.25
251,2.753,2397899.75
252,2.764,2347346.5
253,2.774,2323016.75
254,2.785,2299722.25
255,2.796,2288803.5
256,2.807,2281032.75
257,2.818,2274671.75
258,2.829,2261635.25
259,2.840,2257268.75
260,2.851,2258306.25
261,2.862,2250115
262,2.873,2261259.25
263,2.884,2259602.5
264,2.895,2242417.75
265,2.906,2211600.25
266,2.917,2190525.25
267,2.928,2158457.5
268,2.939,2157181
269,2.950,2175296.25
270,2.961,2205038.25
271,2.972,2223779.75
272,2.982,2243050.75
273,2.993,2255501.5
274,3.004,2264088
275,3.015,2266564.25
276,3.026,2292399.25
277,3.037,2309050
278,3.048,2327281
279,3.059,2352011
280,3.070,2393512.5
281,3.081,2494027.5
282,3.092,2798012
